Option A,college-open,22,3,2008
,,2008-03-22,2008-03-23
https://scorereport.net/2008/college-open/event4853
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Bracket
b,r,e,a,k
