 The 11th Annual Shawn Adams Memorial,womens club,4,9,2004
Chattanooga,TN,2004-09-04,2004-09-05
https://scorereport.net/2004/womens/event690
Strike
b,r,e,a,k
Savage Booty
b,r,e,a,k
Ozone
b,r,e,a,k
Ozone-B
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Bracket
Ozone,Ozone-B,11,7,"09/04/2004, 00:00",Bracket,final
Strike,Savage Booty,13,4,"09/05/2004, 00:00",Bracket,final
Ozone,Strike,15,10,"09/05/2004, 00:00",Bracket,final
b,r,e,a,k
