Metro NY Sectionals,womens club,25,9,2004
Purchase,NY,2004-09-25,2004-09-25
https://scorereport.net/2004/womens/event987
Ambush
b,r,e,a,k
Yale Ramona
b,r,e,a,k
Connecticut Womens
b,r,e,a,k
Vassar
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Ambush,Yale Ramona,15,0,"09/25/2004, 09:00",Pool A,final
Connecticut Womens,Vassar,15,6,"09/25/2004, 09:00",Pool A,final
Ambush,Vassar,15,0,"09/25/2004, 11:15",Pool A,final
Connecticut Womens,Yale Ramona,15,2,"09/25/2004, 11:15",Pool A,final
Ambush,Connecticut Womens,15,2,"09/25/2004, 13:30",Pool A,final
Yale Ramona,Vassar,15,11,"09/25/2004, 13:30",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
