Rocky Mountain Sectionals,womens club,19,9,2004
Denver,CO,2004-09-19,2004-09-20
https://scorereport.net/2004/womens/event789
Rare Air
b,r,e,a,k
KALI - CU
b,r,e,a,k
WORM
b,r,e,a,k
Hells Bells - CSU
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Rare Air,KALI - CU,13,0,"09/19/2004, 10:00",Pool A,final
WORM,Hells Bells - CSU,13,0,"09/19/2004, 10:00",Pool A,final
Rare Air,WORM,13,2,"09/19/2004, 11:50",Pool A,final
KALI - CU,Hells Bells - CSU,9,3,"09/19/2004, 11:50",Pool A,final
Rare Air,Hells Bells - CSU,13,0,"09/19/2004, 13:40",Pool A,final
WORM,KALI - CU,11,5,"09/19/2004, 13:40",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
