Emerald City Classic,womens club,21,8,2004
Burlington,WA,2004-08-21,2004-08-22
https://scorereport.net/2004/womens/event693
Riot
b,r,e,a,k
Prime
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
b,r,e,a,k
brackets,Bracket
bracket,Bracket
Riot,Prime,14,10,"08/22/2004, 00:00",Bracket,final
b,r,e,a,k
