2009 Southern California Club Womens Sectionals,womens club,13,9,2009
Santa Barbara,CA,2009-09-13,2009-09-13
https://scorereport.net/2009/womens/event6237
Safari
b,r,e,a,k
LA Women
b,r,e,a,k
Lady Condors
b,r,e,a,k
Tough Cookies
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Safari,LA Women,13,5,"09/13/2009, 09:00",Pool A,final
Lady Condors,Tough Cookies,13,2,"09/13/2009, 09:00",Pool A,final
Safari,Tough Cookies,13,1,"09/13/2009, 11:15",Pool A,final
Lady Condors,LA Women,13,1,"09/13/2009, 11:15",Pool A,final
Safari,Lady Condors,13,9,"09/13/2009, 13:30",Pool A,final
LA Women,Tough Cookies,13,2,"09/13/2009, 13:30",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
