2009 Wash/BC Club Womens Sectionals,womens club,19,9,2009
Burlington,WA,2009-09-19,2009-09-19
https://scorereport.net/2009/womens/event6230
Apartment Eleven
b,r,e,a,k
SFU Clam
b,r,e,a,k
Riot
b,r,e,a,k
Underground
b,r,e,a,k
Traffic
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Apartment Eleven,SFU Clam,10,13,"09/19/2009, 10:00",Pool A,final
Riot,Underground,15,4,"09/19/2009, 10:00",Pool A,final
Traffic,Underground,7,8,"09/19/2009, 11:40",Pool A,final
Riot,Apartment Eleven,15,0,"09/19/2009, 11:40",Pool A,final
Traffic,SFU Clam,15,0,"09/19/2009, 13:20",Pool A,final
Underground,Apartment Eleven,15,1,"09/19/2009, 13:20",Pool A,final
Traffic,Apartment Eleven,15,2,"09/19/2009, 15:00",Pool A,final
Riot,SFU Clam,15,0,"09/19/2009, 15:00",Pool A,final
Traffic,Riot,7,11,"09/19/2009, 16:40",Pool A,final
Underground,SFU Clam,15,2,"09/19/2009, 16:40",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
