2009 Texas Club Womens Sectionals,womens club,19,9,2009
Austin,TX,2009-09-19,2009-09-19
https://scorereport.net/2009/womens/event6234
Showdown
b,r,e,a,k
Up For Grabs
b,r,e,a,k
That's What She Said
b,r,e,a,k
Ovary Action
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Showdown,Up For Grabs,13,3,"09/19/2009, 09:00",Pool A,final
That's What She Said,Ovary Action,13,0,"09/19/2009, 09:00",Pool A,final
Showdown,Ovary Action,13,1,"09/19/2009, 10:45",Pool A,final
That's What She Said,Up For Grabs,13,3,"09/19/2009, 10:45",Pool A,final
Showdown,That's What She Said,13,8,"09/19/2009, 12:30",Pool A,final
Up For Grabs,Ovary Action,13,5,"09/19/2009, 12:30",Pool A,final
b,r,e,a,k
brackets,Bracket
bracket,Bracket
b,r,e,a,k
