2009 Upstate NY Club Womens Sectionals,womens club,20,9,2009
Rochester,NY,2009-09-20,2009-09-20
https://scorereport.net/2009/womens/event6226
Albany E-ZPass
b,r,e,a,k
2009000C
b,r,e,a,k
Capitals
b,r,e,a,k
2009000B
b,r,e,a,k
Starkist
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Albany E-ZPass,2009000C,0,15,"09/20/2009, 14:00",Pool A,final
Albany E-ZPass,Capitals,0,15,"09/20/2009, 14:00",Pool A,final
2009000B,2009000C,3,15,"09/20/2009, 15:40",Pool A,final
Starkist,Capitals,3,15,"09/20/2009, 15:40",Pool A,final
Albany E-ZPass,2009000B,0,15,"09/20/2009, 17:20",Pool A,final
Albany E-ZPass,Starkist,0,15,"09/20/2009, 17:20",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
