2009 East Coast Club Womens Sectionals,womens club,26,9,2009
Atlanta,GA,2009-09-26,2009-09-26
https://scorereport.net/2009/womens/event6231
Ozone
b,r,e,a,k
Alloy
b,r,e,a,k
Top Shelf
b,r,e,a,k
FLO
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Ozone,Alloy,13,1,"09/26/2009, 12:30",Pool A,final
Top Shelf,FLO,8,9,"09/26/2009, 12:30",Pool A,final
Ozone,FLO,13,8,"09/26/2009, 14:00",Pool A,final
Top Shelf,Alloy,13,3,"09/26/2009, 14:00",Pool A,final
Ozone,Top Shelf,13,4,"09/26/2009, 15:30",Pool A,final
Alloy,FLO,4,12,"09/26/2009, 15:30",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
