2022 USA Ultimate National Championships,Club - Men ,20,10,2022
https://play.usaultimate.org/events/2022-USA-Ultimate-National-Championships/schedule/Men/Club-Men/
Truck Stop,1
02,Zachary Norrbom
03,Alexandre Fall
05,David Cranston
08,Jeremy Hess
10,Tyler Monroe
11,Luke Rehfuss
12,Matthew Rowan McDonnell
13,Cole Jurek
14,Aaron Bartlett
17,Moussa Dia
21,Codi Wood
24,Jacques Nissen
25,Marcus Thaw
29,Christian Johnson
30,David Bloodgood
31,Christian Boxley
32,Andrew Roy
33,Rhys Bergeron
42,Adam Norrbom
45,Jeff Wodatch
52,Gus Norrbom
53,Jonny Malks
57,Jasper Tom
73,Frederick Farah
88,Duncan Fitzgerald
91,Troy Holland
b,r,e,a,k
GOAT,13
01,Akifumi Muraoka
05,Luc Comire
06,Jason  Lam
07,Michael MacKenzie
09,Jaret Meron
10,Geoffrey Bevan
11,Jonathan (JJ) Edwards
12,Remi Ojo
13,Iain MacKenzie
14,Marijo Zlatic
17,Isaiah Masek-Kelly
19,Thomson McKnight
20,Ryan Poloz
21,Geoffrey Powell
27,Nathan Hirst
34,Philip Turner
43,Andrew Ouchterlony
44,Kevin Jay
55,James Lewis
61,Adam O'Donnell
63,Eli Park
74,Gaël Ancelin
83,Jason Huynh
88,Samuel Lewis
92,Adam Turcotte
b,r,e,a,k
Johnny Bravo,8
0,Alex Atkins
02,Jay Froude
03,Jackson Cochran
04,Felix Pronove
05,Elliott Erickson
06,Erik Hotaling
07,Matt Bristol
08,Cole Wallin
10,Calvin Stoughton
11,Seth Faris
12,Justin Abel
15,Dennison Bechis
18,Daniel Landesman
22,Thomas Brewster
24,Mathieu Agee
25,Conor Tabor
26,Daniel Brunker
29,Sandy Brown
34,Cody Spicer
35,Todd Wolma
42,Ben Lohre
45,Will Lohre
75,Matt Jackson
81,Nathan Buchholz
88,Quinn Finer
99,Alex Tatum
b,r,e,a,k
Omen,12
00,William Wettengel
01,Elliot Skindzier
03,Nate Berman
05,Joshua Wu
07,Bryan Walsh
08,Tim Settles
10,Benny Rider
12,Mike Finke
13,Kyle Murray
15,Jake Kenniv
16,Dylan Hall
18,Michael Bruggeman
24,Calvin Caldwell
26,Jack Havey
30,Zachary Ford
32,Matthew Simpson
34,Eric Brinkman
35,Jared Regruth
78,Michael Ames
87,Rick Gross
91,Noah Krumme
98,Joshua Venegas
99,Ryan Hummel
b,r,e,a,k
Rhino Slam!,7
0,Christopher Strub
01,Jon Snyder
02,Benjamin Liu-May
03,Daniel Young
05,Felix Moren
07,Eli Friedman
08,Itay Chang
09,Joseph Marmerstein
11,Mica Glass
12,Jonathan Lee
14,Jack Hatchett
16,Jake Johnson
17,Raphael Hayes
22,Aaron Adamson
23,Antonio Rueda
27,Trevor Smith
28,Kyle Hancock
29,David Sealand
30,Sam Franer
33,Ian Sweeney
36,Gabriel Nobis
40,Vinh Bui
41,Daniel Lee
44,Owen Murphy
62,Quinn Buermeyer
82,Leandro Marx
b,r,e,a,k
Ring of Fire,2
02,Seth Weaver
04,Suraj Madiraju
05,Ben Dameron
06,Dylan Hawkins
07,Jonathan Nethercutt
08,Terrence Mitchell
09,Charles McCutcheon
10,Henry Fisher
11,Ryan Osgar
12,Liam Searles-Bohs
14,Dillon Lanier
15,Eric Taylor
16,Anders Juengst
18,Elijah Long
20,Jacob Fairfax
21,Matt Gouchoe-Hanas
22,Solomon Yanuck
23,Walker Matthews
24,Noah Saul
25,Rutledge Smith
28,Jack Williams
30,Andrew McKelvey
52,Connor Russell
76,Trevor Lynch
80,Alexander Davis
87,Ethan Bloodworth
b,r,e,a,k
Vault,14
00,Jarrod Banks
01,Max Cassell
03,Brandon Lamberty
05,John Walden
06,Dane Warner
07,Steven Wartinbee
08,Kristopher Harrison
11,Peter Mancini
13,Kees Humes
14,Lloyd Blake
15,Garrett Braun
18,Kevin Healey
20,David Zimmerman
21,Jack Field
23,Matthew Beaudet
24,Tim Jackson
25,Jeremy Knopf
27,Austin Bartenstein
30,Cam Barnhardt
31,Kevin O'Malley
32,Alex Turney
37,Miles Grovic
76,Matt McGoogan
78,Leo Pierson
91,Matthew Neeley
99,Adam Weiss
b,r,e,a,k
Revolver,11
00,Nick Tolfa
01,Simon Higgins
03,Ryan Takayama
04,Kevin Tien
05,Danny Miesen
08,Dillon Whited
09,Andrew Moore
10,Colby Chuck
12,Jacob Smith
14,Kenneth Lim
15,Michael Spear
17,Sawyer Thompson
19,Evan Magsig
20,Sean Liston
22,Marcelo Sanchez-Heredia
23,Jake Thorne
24,Elijah Kerns
28,Keaton Viadro
32,Jordan Marcy
43,Nathan Prior
48,Nicholas Murphy
71,Anton Orme
88,Byron Liu
90,Markham Shofner
93,Tom Doi
94,Adam Rees
b,r,e,a,k
Chicago Machine,3
00,Eli Artemakis
01,Andrew Sjogren
03,Robert Coffin
05,Johnny Bansfield
06,Walt Jansen
07,Ben Lewis
10,Von Alanguilan
11,Nathan Goff
12,Kyle Rutledge
13,Dalton Smith
14,Victor Luo
17,Keegan North
18,Sam Kaminsky
19,Paul Arters
24,Jacob Bruner
25,Ross Barker
31,Walden Nelson
34,Jack Shanahan
44,Benjamin Preiss
55,Pawel Janas
66,Jordan Kerr
88,Tim Schoch
91,Joe White
94,Jason  Vallee
96,Asher Lantz
99,Reed Hendrickson
b,r,e,a,k
Chain Lightning,6
00,Bobby Ley
01,Trip Crowley
03,Francisco Fernandez
05,Michael Fairley
06,Aidan Downey
07,Parker Bray
08,Christian Olsen
09,Brett Hulsmeyer
10,Max Thorne
11,Tyler Randall
12,Kennith Taylor
16,Edward Ramsey
17,Hayden Austin-Knab
18,Jeremy Langdon
19,Tannon Hedges
20,Scott Whitley
21,Coleman Tappero
22,Tanner Robinson
25,Collin Hill
26,Christian Gaeta
32,Karl Ekwurtzel
36,Nick Spiva
45,Lukas McClamrock
55,John Stubbs
85,Tom Tulett
87,Trenton Spinks
b,r,e,a,k
Pittsburgh Temper,10
01,Max Sheppard
03,Patrick Earles
04,Casey Mann
07,Mark Fedorenko
08,Thomas Edmonds
09,Patrick McMullen
10,Adam Burgess
12,Ryan Weaver
14,Dan Nichols
15,Dylan Best
18,Jed Farber
19,Ari Weitzman
21,Aiden Landis
22,Owen Watt
24,Alexander Thomas
26,Connor Newell
27,Anson Reppermund
33,Dillon Garrett
34,Jacob Price
35,Dan Goldstein
44,Scott Heyman
46,Tristan Yarter
47,Marcel Oliart
48,Jimmy Towle
49,Sam VanDusen
65,Michael Dillard
b,r,e,a,k
SoCal Condors,15
00,Jonathan Helton
01,Michael Kiyoi
05,Bryce Lozinski
07,Benjamin Levinsky
08,Nicholas Simonelli
09,Maxwell Hume
10,Matthew Nelson
11,Elliot Warner
12,Mitchell Steiner
14,William Turner
18,Kyle Rubin
19,Jeff Silverman
20,Matt Miller
22,Lukas Ambrose
23,Clark Wang
26,Reggie Sung
27,Kenrick Koo
29,Sam Cook
30,Seamus Robinson
33,Tim Gilligan
42,Marcel Osborne
81,Rhys Gretsch
88,Samuel Fontaine
89,Milan Ravenell
99,Brandon Van Deusen
b,r,e,a,k
PoNY,4
02,Sean Keegan
03,Benjamin Spielman
05,Joshua Stevens-Stein
07,Clark Cofer
08,Harper Garvey
09,Samuel Little
10,Shashank Alladi
11,Jeffrey Holm
12,Solomon Rueschemeyer-Bailey
13,Evan Padget
14,William Dean
15,Daniel Meiland
17,Benjamin Katz
18,Tyler Haskell
20,Grant Lindsley
23,Jimmy Mickle
31,Chris Kocher
33,Mark Lin
34,John Randolph
47,Conrad Schloer
54,John Lithio
66,Jibran Mieser
69,Benjamin Jagt
81,Antoine Davis
82,Marques Brownlee
87,Jeffrey Babbitt
b,r,e,a,k
Sockeye,5
00,Jacob Janin
01,Manuel Eckert
02,Brice Dixon
03,Thomas  Kulczak
05,Nathan Kwon
06,Julian Childs-Walker
07,Henry Phan
09,Simon Montague
10,Dongyang Chen
11,Christian Foster
12,Garrett Martin
15,Assaf Golan
16,Trent Dillon
18,Chackgarin Brown
20,Tony Venneri
22,Declan Miller
23,Xander Cuizon Tice
25,Nick Stuart
27,Dylan Freechild
31,Matthew Rehder
34,Zeppelin Raunig
42,Brian (Dominic) Jacobs
59,Noah Coolman
74,Mac Hecht
77,Ben Snell
90,Shane Worthington
b,r,e,a,k
Doublewide,9
01,Kolbe Bauer
02,Kaplan Maurer
04,Evan Swiatek
06,Michael Matthis
07,Trevor Elam
09,Jason Hustad
10,Alec Wilson Holliday
11,Reese Bowman
12,Noah Chambers
14,Mark Evans
18,Elliott Moore
19,Kevin Richardson
20,Chase Cunningham
21,Vinay Valsaraj
23,Kyle Henke
24,Rory Orloff
28,Jackson Potts
33,Jacob Radack
34,Zachary Slayton
41,Oliver Fay
42,Patrick  Beckett 
43,Joseph Wylie
50,Matthew Armour
63,Henry Furuta
66,Eric Brodbeck
73,Gavin Babbitt
b,r,e,a,k
Mad Men,16
00,Branavan Yogarajah
03,Jake Carrico
05,Joseph Nelson
06,Matt Tucker
09,Kyle Dreger
10,Will Casperson
11,David Nester
12,Sam Hebert
13,Jordan Benson
14,Kai DeLorenzo
15,Sam Stark
22,Liam McDonald
24,Alex Liu
27,Shane Otis 
29,Jack Nelson
33,Peter Miller
34,Colin Sunde
41,Jacob Schlaefer
42,Maddox Hill
49,John Tan
66,Anthony Gutowsky
71,Dylan Power
74,Luke Marks
77,Jack Walters-Medaris
91,Austin Johnson
99,Eric Blais
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Truck Stop,Omen,15,8,"10/20/2022, 09:00",Pool A
Johnny Bravo,GOAT,14,15,"10/20/2022, 09:00",Pool A
Truck Stop,GOAT,15,7,"10/20/2022, 11:15",Pool A
Johnny Bravo,Omen,15,5,"10/20/2022, 11:15",Pool A
Truck Stop,Johnny Bravo,15,12,"10/20/2022, 13:30",Pool A
Omen,GOAT,13,15,"10/20/2022, 13:30",Pool A
pool,Pool B
Ring of Fire,Revolver,15,9,"10/20/2022, 11:15",Pool B
Rhino Slam!,Vault,14,10,"10/20/2022, 11:15",Pool B
Ring of Fire,Vault,15,8,"10/20/2022, 13:30",Pool B
Rhino Slam!,Revolver,10,15,"10/20/2022, 13:30",Pool B
Ring of Fire,Rhino Slam!,14,15,"10/20/2022, 15:45",Pool B
Revolver,Vault,11,15,"10/20/2022, 15:45",Pool B
pool,Pool C
Chicago Machine,Pittsburgh Temper,15,10,"10/20/2022, 09:00",Pool C
Chain Lightning,SoCal Condors,15,13,"10/20/2022, 09:00",Pool C
Chicago Machine,SoCal Condors,13,15,"10/20/2022, 13:30",Pool C
Chain Lightning,Pittsburgh Temper,15,10,"10/20/2022, 13:30",Pool C
Chicago Machine,Chain Lightning,15,11,"10/20/2022, 15:45",Pool C
Pittsburgh Temper,SoCal Condors,15,11,"10/20/2022, 15:45",Pool C
pool,Pool D
PoNY,Doublewide,15,10,"10/20/2022, 09:00",Pool D
Sockeye,Mad Men,15,9,"10/20/2022, 09:00",Pool D
PoNY,Mad Men,15,9,"10/20/2022, 11:15",Pool D
Sockeye,Doublewide,14,12,"10/20/2022, 11:15",Pool D
PoNY,Sockeye,15,11,"10/20/2022, 15:45",Pool D
Doublewide,Mad Men,15,7,"10/20/2022, 15:45",Pool D
b,r,e,a,k
brackets,Championship Bracket
bracket,First Place Bracket
Truck Stop,Johnny Bravo,11,15,"10/23/2022, 12:30",Finals
Truck Stop,PoNY,15,13,"10/22/2022, 14:30",Semifinals
Johnny Bravo,Rhino Slam!,13,9,"10/22/2022, 10:00",Semifinals
Truck Stop,Ring of Fire,15,11,"10/21/2022, 11:45",Quarterfinals
Chain Lightning,PoNY,6,15,"10/21/2022, 11:45",Quarterfinals
Chicago Machine,Johnny Bravo,10,15,"10/21/2022, 14:00",Quarterfinals
Doublewide,Rhino Slam!,13,15,"10/21/2022, 14:00",Quarterfinals
Ring of Fire,Pittsburgh Temper,15,12,"10/21/2022, 09:00",Pre-Quarterfinals
Chain Lightning,Vault,15,14,"10/21/2022, 09:00",Pre-Quarterfinals
Sockeye,Johnny Bravo,13,14,"10/21/2022, 09:00",Pre-Quarterfinals
GOAT,Doublewide,13,14,"10/21/2022, 09:00",Pre-Quarterfinals
b,r,e,a,k
brackets,Consolation Brackets (2023 Pro Flight)
bracket,5th Place Bracket
Ring of Fire,Chicago Machine,13,15,"10/22/2022, 09:00",5th Place
Ring of Fire,Doublewide,13,8,"10/21/2022, 16:15",5th Place Semifinal
Chicago Machine,Chain Lightning,15,10,"10/21/2022, 16:15",5th Place Semifinal
bracket,7th Place Bracket - Pro Flight Play-In (A)
Doublewide,Vault,15,14,"10/22/2022, 10:00",Pro Flight Play-In / 7th Place (tie)
Omen,Vault,13,14,"10/21/2022, 16:15",Pro Flight Play-In Semifinals
Sockeye,Omen,14,15,"10/21/2022, 11:45",Pro Flight Play-In Quarterfinals
SoCal Condors,Vault,9,14,"10/21/2022, 11:45",Pro Flight Play-In Quarterfinals
bracket,7th Place Bracket - Pro Flight Play-In (B)
Revolver,Chain Lightning,15,10,"10/22/2022, 10:00",Pro Flight Play-In / 7th Place (tie)
Revolver,Pittsburgh Temper,15,8,"10/21/2022, 16:15",Pro Flight Play-In Semifinals
GOAT,Revolver,9,15,"10/21/2022, 11:45",Pro Flight Play-In Quarterfinals
Mad Men,Pittsburgh Temper,10,15,"10/21/2022, 11:45",Pro Flight Play-In Quarterfinals
b,r,e,a,k
brackets,Elite Flight Brackets
bracket,11th Place
Omen,Pittsburgh Temper,10,15,"10/22/2022, 09:00",11th Place
bracket,13th Place
Sockeye,GOAT,12,15,"10/22/2022, 09:00",13 Place
Sockeye,SoCal Condors,15,8,"10/21/2022, 14:00",13th Place Semifinal
GOAT,Mad Men,15,11,"10/21/2022, 14:00",13th Place Semifinal
bracket,15th Place
SoCal Condors,Mad Men,12,14,"10/22/2022, 11:15",15th Place
b,r,e,a,k
clusters,Crossover Reseeding Round (4th Place Pool Teams)
cluster,Crossover Round
Omen,SoCal Condors,13,15,"10/21/2022, 09:00",
Revolver,Mad Men,15,13,"10/21/2022, 09:00",
b,r,e,a,k
