2022 Southeast Men's Regional Championship,Club - Men ,25,9,2022
Decatur,AL,2022-09-24,2022-09-25
https://play.usaultimate.org/events/2022-Southeast-Mens-Regional-Championship/schedule/Men/Club-Men/
Ring of Fire,1
02,Seth Weaver
04,Suraj Madiraju
05,Ben Dameron
06,Dylan Hawkins
07,Jonathan Nethercutt
08,Terrence Mitchell
09,Charles McCutcheon
10,Henry Fisher
11,Ryan Osgar
12,Liam Searles-Bohs
14,Dillon Lanier
15,Eric Taylor
16,Anders Juengst
18,Elijah Long
20,Jacob Fairfax
21,Matt Gouchoe-Hanas
22,Solomon Yanuck
23,Walker Matthews
24,Noah Saul
25,Rutledge Smith
28,Jack Williams
30,Andrew McKelvey
52,Connor Russell
76,Trevor Lynch
80,Alexander Davis
87,Ethan Bloodworth
b,r,e,a,k
Chain Lightning,2
0,Jeremy Langdon
01,Trip Crowley
03,Francisco Fernandez
05,Michael Fairley
06,Aidan Downey
07,Parker Bray
08,Christian Olsen
09,Brett Hulsmeyer
10,Max Thorne
11,Tyler Randall
12,Kennith Taylor
14,John Stubbs
16,Edward Ramsey
17,Hayden Austin-Knab
18,Bobby Ley
19,Tannon Hedges
20,Scott Whitley
21,Coleman Tappero
22,Tanner Robinson
25,Collin Hill
26,Christian Gaeta
32,Karl Ekwurtzel
36,Nick Spiva
45,Lukas McClamrock
85,Tom Tulett
87,Trenton Spinks
b,r,e,a,k
Raleigh-Durham United,4
 ,Cameron Guidry
 ,George Lampron
 ,Houston Parks
 ,Kirkwood Alex Cloud
 ,Tobias Brooks
 ,Xander Wilcox
0,Albert Yuan
10,Jacob Louie
11,Wilson Matthews
12,William Coffin
13,Ramzi Cope-Musleh
14,John Kost
20,Jared  Anderson
21,Danny Wilson-Simpson
23,Angelo Olcese
25,Harrison Karlok
27,Caleb Louie
34,Marcus Rovner
35,Myles Grady
43,Jake Rovner
44,Dillon Bruer
52,Kamron Daftari
71,Clint McSherry
72,Nathaniel Donaher
73,Andrew Vande Berg
87,Benj Thomsen
b,r,e,a,k
Tanasi,3
02,James Russnogle
03,Zack Avello
04,Jeremiah Branson
05,Neil Place
06,Alex Stevenson
07,Jacob Lipford
08,Brian Newsom
10,Jared Beazley
11,Ethan Baughman
12,Bryan Sansbury
13,Carter Rae
15,Samuel Good
16,Colin Flowers
18,Yanni Killebrew
19,James  Poe
21,Carson Chamberlain
22,Ridge Carter
24,Fletcher Hare
25,Andrew Geisel
29,Jordan Hennessy
32,Nicholas Amendolare
44,Matt Matheny
64,Bryan Sandidge
81,Jacob Flowers
92,Neil Taylor
97,Vasili Doan
b,r,e,a,k
Alliance,8
0,David Perry
00,Seth Newton
01,Shane  Denman 
02,Robert Strickland
03,Tyler  Menix
05,Payton Garlington
07,KEITH TURNER II
08,Duncan Carville
09,Brandon Beers
10,Noah Runyan
11,Joseph Sucgang
12,Jeffrey Martin
13,Noah Angles
14,Stuart Hughes
17,Jason Russell
20,Mitch Parker
21,Matthew Green
22,Scott Landers
23,Joshua Thomas
25,Marcus Evans
26,Cameron Givianpour
35,David Allen
39,Jarrett Swanson
79,Cam Copeland
88,Thomas O'Donnell
90,Brantley Bargerhuff
b,r,e,a,k
Lost Boys,5
 ,Brandon Wider
 ,Matthew Hogue
 ,Kyle Woodberry
 ,Tucker McMillen
 ,William Carmichael
0,Michael Miller
10,Colin Sauls
11,Nicholas Headden
12,Johnnie Lynch
13,Caleb Backstrom
14,Chapman Lee
16,Clarence Frady
17,Christopher Church
18,Chris Wilson
21,John (Jack) Dowling
22,Matthew Herbst
23,John Bonas
24,Stephen Trello
25,Jacob Brunson
27,Joseph  Cammarata
29,Daniel Ouk
31,Coleman Maher
33,Jonathan Brennan
64,Jacob Blackman
81,Deven Riley
88,Andy Larsen
b,r,e,a,k
Delirium,6
 ,Alex Cronin
 ,Jacob Dangler
 ,Mike McGinnis
0,Nigel Hagley
0,Ryan Murphy
0,Ryan Flick
0,Lewis (Alec) Chosewood
0,Madison Head
0,Aaron Claytor
0,Aaron Goings
0,Charles Loudermilk
0,Conner Chambers
0,Daniel Palladino 
0,David Kandler
0,Davis Elder
0,Eric Sinkler
0,Evan Marshall
0,Ian Maddox
0,Isaac Smith
0,Samuel Trent
0,Sean Kelley
0,William Lindquist
26,Sam Diffin
b,r,e,a,k
UpRoar,7
0,Donovan Murphy
0,Jacob Gaines
0,Jacob Lane
0,Jay Coble
0,Joey Lisko
0,Jonathan Beilan
0,Kyle Krukowski
0,Matt Ryan
0,Matthew Mcdonald
0,Michael Kromer
0,Robert Anderson
0,Ronald Peterman
0,Ryan Hiser
0,Ryan Moore
0,Thomas Theunissen
0,Thomas Wilkinson III
0,Trevorn Hodge
0,Andy Chiang
0,Brendan Camareno
0,Bryan Redden
0,Caleb Posey
0,Carl Johnson
0,Clayton Marshall
0,David Witte
37,Corey Bennett
43,Dean Stupar
b,r,e,a,k
Nashville Mudcats,16
 ,David Pham
 ,Jeffrey Burris
0,Julian Delamaza
0,Kanu Shetkar
0,Kyle Maples
0,Maguire Heady
0,Michael Wilson
0,Michael Alberts
0,Miles Littlefield
0,Paul Michael
0,Philip Throckmorton
0,David Evans
0,Elijah  Burns 
0,Felix Curley
0,Jack Walton
0,Jack Waite
0,Jackson Shorey
0,Aaron Jolly
0,Ben Walton
0,Caleb Texeira
0,Cole Hudgin
0,David Atwood
0,Russell Meade
0,Taylor McMurtry
0,William Dickens
20,Richard Salmon
b,r,e,a,k
Hooch,9
 ,Matthew Roon
0,Zachary Hart
0,Charles Huff
01,Ashton HIll
02,Lyle Caballes
03,Sam Merritt
04,Bradley Seuntjens
05,Curtis Landry
07,Fernando Ortiz
08,Skyler Pitts
10,Johnny Griffing
12,Daniel Knight
13,Joseph Griffing
14,Jeremy Craft
16,Kolbie Carrell
17,"Alexander ""Sascha"" Vogel"
19,Collin Cassidy
21,Michael Catucci
27,Matthew Harrison
31,Jack Barrow
39,Antoine Cava
43,Zachary Shannon
70,Owen Mork
87,Alex Mathis
90,Ben Llena
99,Matthew Fazzalaro
b,r,e,a,k
Space Cowboys,12
 ,David Wingo
 ,Andrew Wetzel
 ,Aaron Bonsignore
 ,Kevin Peters
 ,Logan McMillen
 ,Matt Green
 ,Michael  Berros
0,Ryland Bristow
0,Thomas Loar
0,William Shields
0,ANDREW DILILLO
0,Luke Philbin
0,Alex Leblanc
0,Andrew Allen
0,Brock Stephan
0,Chris Sayad
0,Chris Dwight
0,Ethan Phillips
0,Jack Cioffi
0,Jackson  Dye
0,Jacob Goyne
0,Jacob Luksik
0,Jake Barton
0,James Lowell
0,Kenneth Peters
21,Andrew Brownlow
b,r,e,a,k
Raptor,13
 ,Aidan McGovern
 ,Michael Mills
0,Noah Sullivan
0,Gabriel Weigel
0,Jacob Ryan
0,Jacob Pickett
0,Kevben Belastegui
01,Rene Muzquiz
04,Ben Kuykendall
06,Brandon Dessingue
09,Duncan Graham
10,Brenton Baxley
16,Thomas Orchanian
17,Alex Schmoling
18,Andrew Cox
20,Jacques St-Laurent
23,Brandon Allen
23,Ryan Maughan
36,Brett Knowles
46,Merrick Lavinsky
55,Bradley  Paul
64,Andrew Dizney
74,John Fonte
81,Eric Kieffer
85,Eric Tumelty
b,r,e,a,k
Second Nature,14
 ,Austin Rodarte
 ,Daniel Downs
 ,Garrett Nix
 ,Noah Schwalb
 ,Riley Bong
 ,Thomas Teasley
0,Gunnar Etzkorn
0,Ethan Moldofsky
0,Matthew Street
11,Raymond Cribbs
13,Peter Masaki
14,Alexander DiBenio
15,Chandler Foster
18,Alec Minnicks
19,Dominic Kenyon
20,Isaiah Mason
21,Wesley Seat
22,Jonathan Lee
23,Kody Shively
26,Connor Rigby
27,Riley Park
33,Horace Wilson
34,John Shields
42,Scott Godchaux
55,Aaron Aberle
84,Denis O'Sullivan
b,r,e,a,k
Rush Hour ATL,11
 ,Zaki Durry
0,Arthur Shim
0,Aubrey Roberts
0,Austin Hegmon
0,Caleb Myatt
0,Carter Tegen
0,Christopher Zuo
0,Cole Flournoy
0,Devon Rogers
0,George Lefkowicz
0,Harrison Barrett
0,Ishaan Dave
0,James Myatt
0,Jon Fey
0,Kevin Fan
0,Lee Phan
0,Matthew Allan
0,Matthew Knowles
0,Alec Powers
0,Amatheon Bohan
0,Rylan Gordon
0,Samuel Munnis
0,Troy Baker
11,Jackson McHugh
12,Andrew Chung
82,Michael Price
b,r,e,a,k
Atlanta Arson,10
 ,Adam Goodwin
 ,Alex Jackson
 ,Christian  Montufar
 ,Dacree Harden
 ,Drew Teachout
 ,Elliott Park
 ,Eric Frega
 ,Evan Amon
 ,Foster Boales
 ,Galen Ramsey
 ,Hamilton Mebius
 ,Harrison  Briggs 
 ,Jaden Medley-Fowlkes
 ,Julian Alvarez-Lobo
 ,Krishan Chib
 ,Maxwell Lopez
 ,Nic Jennings
 ,Robert Mobley
 ,Robert Roper
 ,Spencer Pennington
 ,Tabish Rayani
 ,Vinny Nguyen
b,r,e,a,k
Battleship,15
0,Joseph Reosti
0,Daniel Brown
0,Daniel Beck
0,Taylor Hood
0,Tony Nguyen
01,Caleb Dickey
02,David Hernandez
04,Josh Hunter
05,Caleb Cox
07,Justin Archie
08,Nathan Tadlock
09,Matthew Glenzer
15,Ben Cockrell
22,Sean Smitherman
28,Stephen Fick
32,Noah Smith
33,Boston Morgan
39,Brandon Brown
85,Matthew Skinner
98,Nicholas Cockrell
99,Thomas Miller
b,r,e,a,k
s,t,a,g,e,s
brackets,Championship
bracket,First Place Bracket
Ring of Fire,Chain Lightning,13,15,"09/25/2022, 10:00",Finals,Final
Ring of Fire,Raleigh-Durham United,15,10,"09/24/2022, 14:15",Semis,Final
Tanasi,Chain Lightning,10,15,"09/24/2022, 14:15",Semis,Final
Ring of Fire,Alliance,15,3,"09/24/2022, 10:00",Quarters,Final
Lost Boys,Raleigh-Durham United,10,15,"09/24/2022, 10:00",Quarters,Final
Tanasi,Delirium,15,6,"09/24/2022, 10:00",Quarters,Final
UpRoar,Chain Lightning,3,15,"09/24/2022, 10:00",Quarters,Final
Ring of Fire,Nashville Mudcats,15,2,"09/24/2022, 08:00",Pre-Quarters,Final
Hooch,Alliance,8,15,"09/24/2022, 08:00",Pre-Quarters,Final
Lost Boys,Space Cowboys,15,9,"09/24/2022, 08:00",Pre-Quarters,Final
Raptor,Raleigh-Durham United,5,15,"09/24/2022, 08:00",Pre-Quarters,Final
Tanasi,Second Nature,15,7,"09/24/2022, 08:00",Pre-Quarters,Final
Rush Hour ATL,Delirium,12,13,"09/24/2022, 08:00",Pre-Quarters,Final
UpRoar,Atlanta Arson,13,10,"09/24/2022, 08:00",Pre-Quarters,Final
Battleship,Chain Lightning,4,15,"09/24/2022, 08:00",Pre-Quarters,Final
bracket,Second Place Bracket
Ring of Fire,Raleigh-Durham United,15,9,"09/25/2022, 12:00",Game-to-Go,Final
Raleigh-Durham United,Tanasi,15,12,"09/25/2022, 10:00",2nd Semis,Final
Delirium,Raleigh-Durham United,5,15,"09/25/2022, 08:00",2nd Quarters,Final
Lost Boys,Tanasi,10,15,"09/25/2022, 08:00",2nd Quarters,Final
UpRoar,Delirium,7,15,"09/24/2022, 14:15",Backdoor Semis,Final
Lost Boys,Alliance,13,10,"09/24/2022, 14:15",Backdoor Semis,Final
UpRoar,Hooch,14,13,"09/24/2022, 12:15",Backdoor Quarters,Final
Delirium,Raptor,15,7,"09/24/2022, 12:15",Backdoor Quarters,Final
Lost Boys,Rush Hour ATL,15,11,"09/24/2022, 12:15",Backdoor Quarters,Final
Alliance,Battleship,15,6,"09/24/2022, 12:15",Backdoor Quarters,Final
Nashville Mudcats,Hooch,8,15,"09/24/2022, 10:00",Backdoor Pre-Qs,Final
Space Cowboys,Raptor,14,15,"09/24/2022, 10:00",Backdoor Pre-Qs,Final
Second Nature,Rush Hour ATL,11,15,"09/24/2022, 10:00",Backdoor Pre-Qs,Final
Atlanta Arson,Battleship,12,15,"09/24/2022, 10:00",Backdoor Pre-Qs,Final
b,r,e,a,k
brackets,Placement Games 9-12
bracket,9th Place
Hooch,Rush Hour ATL,12,10,"09/25/2022, 10:00",9th Finals,Final
Hooch,Raptor,15,10,"09/25/2022, 08:00",9th Semis,Final
Rush Hour ATL,Battleship,15,14,"09/25/2022, 08:00",9th Semis,Final
bracket,11th Place
Raptor,Battleship,1,0,"09/25/2022, 10:00",11th Finals,Final
b,r,e,a,k
pools,Placement Games 13-16
pool,Pool 13th
Space Cowboys,Atlanta Arson,15,5,"09/24/2022, 12:15",Pool 13th,Final
Second Nature,Nashville Mudcats,15,5,"09/24/2022, 12:15",Pool 13th,Final
Space Cowboys,Nashville Mudcats,15,10,"09/25/2022, 08:00",Pool 13th,Final
Second Nature,Atlanta Arson,14,12,"09/25/2022, 08:00",Pool 13th,Final
Space Cowboys,Second Nature,9,6,"09/25/2022, 10:00",Pool 13th,Final
Atlanta Arson,Nashville Mudcats,13,12,"09/25/2022, 10:00",Pool 13th,Final
b,r,e,a,k
brackets,Placement Games 5-8
bracket,5th Place
Delirium,Lost Boys,0,1,"09/25/2022, 10:00",5th Place,Final
bracket,7th Place
UpRoar,Alliance,10,15,"09/25/2022, 08:00",7th Place,Final
b,r,e,a,k
