2022 USA Ultimate National Championships,Club - Mixed ,20,10,2022
https://play.usaultimate.org/events/2022-USA-Ultimate-National-Championships/schedule/Mixed/Club-Mixed
XIST,8
00,Natalia De Jesus
03,Abagael Cheng
04,Nola Kim Mayer
06,Ryan Drost
07,Luisa Maria Neves
08,Michael Drost
10,Tricia Smit
11,Nina Finley
12,Matthew Lemar
16,Elias Levey-Swain
17,Oliver Chartock
18,Caitlyn Hauswirth
19,Eliot Bemis
26,Cara Sieber
27,Griffin Kao
29,Oscar Kohut
30,Josue Alorro
33,Emily Barrett
36,Matt Wiener
42,Daniel Thornton
45,Colton Doering
55,Kathy Eo
64,Benjamin Levy
80,Hannah Garfield
88,Nicole Hair
b,r,e,a,k
Dirty Bird,12
01,Devin Cox
02,Austin Taylor
03,Lucia Derks
04,Samantha Hill
07,Jacques Perivier
08,Matthew Smith
09,Jessica Brown
12,Katherine Smith
13,Matthew Hardman
20,Dana Rose
21,Jin-Mi Matsunaga
22,Taylor Hide
24,Sun Choi
25,Michael Venezia
27,Paul Lally
30,Katherine Yost
33,Caroline Taylor
36,Josh Turner
42,Sam Gabrielson
65,Aileen Thomas
81,Joseph Burns
99,Andrew Cohen
b,r,e,a,k
Drag'n Thrust,1
00,Bret Bergmeier
02,Emma Peaslee
03,Bryan Vohnoutka
04,Tanner Barcus
05,Jordan Taylor
06,Rocco Essex-Linehan
07,Danielle Byers
10,Jane Koch
11,Rachel Johnson
12,Marty Adams
13,Nariah-Belle Sims
14,Jessica Hendrickson
18,Sam Berglund
20,Neal Hanke
21,Sarah Mondschein
25,Gerene Taylor
29,Josh Klane
31,Maggie Peck
33,Jaime Glader
49,Caleb Denecour
53,Emma Piorier
55,Charlie Schuweiler
61,Brandon Matis
66,Jason Tschida
77,Julia Hill
b,r,e,a,k
Slow,13
00,Jacob Taylor
02,Dory Ziperstein
03,Jon Cox
04,Ryan Woodhouse
06,Chloe Rowse
07,Amanda Lobel
08,Peter Prial
09,Elliott Rosenberg
10,Ryan Turner
13,Langston Lee
17,Zach Wolfe
19,Olivia Hampton
22,Alexi Zalk
25,Alexander Trahey
27,Rita Feder
29,Kelsey Devlin
32,Emilia Scheemaker
35,Ryan Cardinal
36,Jenny Wang
43,Jon Hirschberger
