2022 Central Plains Mixed Sectional Championship,Club - Mixed ,10,9,2022
Westfield,IN,2022-09-10,2022-09-18
https://play.usaultimate.org/events/2022-Central-Plains-Mixed-Sectional-Championship/schedule/Mixed/Club-Mixed
Chicago Parlay,1
teamInfo,,"Chicago, Illinois",https://chicago-parlay.com/,https://www.instagram.com/parlayultimate/,https://twitter.com/ParlayUltimate
 ,Benjamin Zhang
 ,Cassandra Singler
 ,Catherine Chen
 ,Claire Schwaba
 ,Elaine Sundberg
 ,Elliot Lee
 ,George Irving
 ,Gina Stees
 ,Hector Rivera
 ,Hindeke Tewodros
 ,Jessica Louie
 ,Jonathan Liu
 ,Jordan Lange
 ,Kendra Griesman
 ,Kenneth Allen
 ,Laramie Aspegren
 ,Larkin Johnson
 ,Mary Hermann
 ,Max Trotter
 ,Nick Longo
 ,Sarah Warren
 ,Adam Klaus
 ,Tavis Leighton
 ,WillIam Altschul
0,Andrew Patel
0,Tanner Mayo
b,r,e,a,k
Three Rivers Ultimate Club,9
teamInfo,,"Fort Wayne, Indiana",,,
0,audrey schroeder 
0,Grace  Lare 
0,Melissa Vanderbosch
01,John Haselden
04,Jacob Wunderlich
05,Collin Marshall
06,Andrew Perry
07,Ben Schwartz
08,Justin Hess
11,Thomas Yaste
12,Peter Heneveld
14,Lydia Yaste
14,Colby Parker
17,Holly Wallin
18,Anthony Phan
21,Abbie Haselden
24,Henry Connor
27,Jessica Sink
28,Jacob Felton
29,Emily Schloneger
31,David  Cox
54,Michael Bianski
55,Rachel Heneveld
73,Caleb Patterson
84,Andrew Warren
88,Ian Leazier
b,r,e,a,k
Indiana Pterodactyl Attack (IPA),8
teamInfo,IPA,"Clarksville, Indiana",,https://www.facebook.com/IPA.Ultimate/,
0,Atticus  Baumgartle 
0,Dani Schwegmann
0,Donald Ullery
0,Emery Jonas
0,Fletcher Jonas
0,Halie McNeil Kelly
0,Indigo Jonas
0,Isaac Baumgartle
0,Jade Jonas
0,Jadyn Vessels
0,Jamie Waller
0,Jessica Neal
0,Joel Norfleet
0,Justin Wilson
0,Kristin Francis
0,Laronta Murray
0,Manuel Urquilla
0,Nick Taylor
0,Paulina Gutierrez
0,Philip Hills
0,R.D. Owens III
0,Ray Yeager
0,Russell Hoon
0,Travis Drake
0,Vathana Chan
0,Wyatt Edwards
b,r,e,a,k
RAMP,2
teamInfo,,"Chicago, Illinois",http://rampultimate.com/,,https://twitter.com/RAMP_ultimate
 ,Dylan Salzman
0,Jade Hostein
0,Jesse Johnson
0,Jocelyn Sun
0,Katie Bristol
0,Kevin Liu
0,Kwai Philpott
0,Kylie Chesner
0,Matt Jaffe
0,Matthew Golz
0,Matthias Ling
0,Max Moore
0,Megan Morales
0,Michelle Farb
0,Sabina Hartnett
0,Sean McSweeney
0,Shaun Tan
