2011 USAU Carolina D-I College Open CC,college-open,16,4,2011
Greenville,NC,2011-04-16,2011-04-17
https://scorereport.net/2011/college-open/event8536
North Carolina-Wilmington
b,r,e,a,k
South Carolina
b,r,e,a,k
Duke
b,r,e,a,k
Appalachian State
b,r,e,a,k
Charleston
b,r,e,a,k
North Carolina
b,r,e,a,k
Clemson
b,r,e,a,k
East Carolina
b,r,e,a,k
North Carolina State
b,r,e,a,k
North Carolina-Greensboro
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
North Carolina-Wilmington,South Carolina,12,5,"04/16/2011, 08:30",Pool A,final
Duke,Appalachian State,10,8,"04/16/2011, 08:30",Pool A,final
North Carolina-Wilmington,Appalachian State,9,7,"04/16/2011, 10:00",Pool A,final
South Carolina,Charleston,9,6,"04/16/2011, 10:00",Pool A,final
North Carolina-Wilmington,Duke,9,8,"04/16/2011, 11:30",Pool A,final
Appalachian State,Charleston,5,8,"04/16/2011, 11:30",Pool A,final
South Carolina,Appalachian State,6,8,"04/16/2011, 13:00",Pool A,final
Duke,Charleston,9,8,"04/16/2011, 13:00",Pool A,final
South Carolina,Duke,7,6,"04/16/2011, 14:30",Pool A,final
North Carolina-Wilmington,Charleston,11,8,"04/16/2011, 14:30",Pool A,final
pool,Pool B
North Carolina,Clemson,10,6,"04/16/2011, 08:30",Pool B,final
East Carolina,North Carolina State,9,7,"04/16/2011, 08:30",Pool B,final
North Carolina,North Carolina State,8,9,"04/16/2011, 10:00",Pool B,final
Clemson,North Carolina-Greensboro,13,4,"04/16/2011, 10:00",Pool B,final
North Carolina,East Carolina,11,12,"04/16/2011, 11:30",Pool B,final
North Carolina State,North Carolina-Greensboro,9,4,"04/16/2011, 11:30",Pool B,final
Clemson,North Carolina State,6,10,"04/16/2011, 13:00",Pool B,final
East Carolina,North Carolina-Greensboro,10,3,"04/16/2011, 13:00",Pool B,final
Clemson,East Carolina,13,11,"04/16/2011, 14:30",Pool B,final
North Carolina,North Carolina-Greensboro,W,L,"04/16/2011, 14:30",Pool B,final
b,r,e,a,k
brackets,Bracket
bracket,Championship Bracket
North Carolina-Wilmington,North Carolina State,15,6,"04/17/2011, 09:00",Championship Bracket,final
East Carolina,South Carolina,15,10,"04/17/2011, 09:00",Championship Bracket,final
North Carolina-Wilmington,East Carolina,15,6,"04/17/2011, 13:00",Championship Bracket,final
bracket,2nd Place Bracket
North Carolina,Charleston,15,8,"04/17/2011, 09:00",2nd Place Bracket,final
Duke,Clemson,14,11,"04/17/2011, 09:00",2nd Place Bracket,final
South Carolina,North Carolina,14,13,"04/17/2011, 11:00",2nd Place Bracket,final
North Carolina State,Duke,15,13,"04/17/2011, 11:00",2nd Place Bracket,final
South Carolina,North Carolina State,15,11,"04/17/2011, 13:00",2nd Place Bracket,final
East Carolina,South Carolina,W,8,"04/17/2011, 15:00",2nd Place Bracket,final
bracket,7th Place Game
Clemson,Charleston,15,11,"04/17/2011, 11:00",7th Place Game,final
bracket,5th Place Game
North Carolina,Duke,11,8,"04/17/2011, 13:00",5th Place Game,final
bracket,Consolation Game
Appalachian State,North Carolina-Greensboro,W,L,"04/17/2011, 09:00",Consolation Game,final
b,r,e,a,k
