2011 USAU Michigan D-III College Open CC,college-open,16,4,2011
Kalamazoo,MI,2011-04-16,2011-04-16
https://scorereport.net/2011/college-open/event8555
Kalamazoo
b,r,e,a,k
Hope College
b,r,e,a,k
Calvin
b,r,e,a,k
Kettering
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Kalamazoo,Hope College,15,3,"04/16/2011, 09:00",Pool A,final
Calvin,Kettering,15,6,"04/16/2011, 09:00",Pool A,final
Kalamazoo,Calvin,15,6,"04/16/2011, 10:45",Pool A,final
Hope College,Kettering,15,8,"04/16/2011, 10:45",Pool A,final
Kalamazoo,Kettering,15,3,"04/16/2011, 12:45",Pool A,final
Calvin,Hope College,12,15,"04/16/2011, 12:45",Pool A,final
b,r,e,a,k
brackets,Bracket
bracket,Final Bracket (only played if not team has a 3-0 record)
b,r,e,a,k
