2011 USAU Great Lakes Dev College Open Regionals,college-open,30,4,2011
Rockford,IL,2011-04-30,2011-05-01
https://scorereport.net/2011/college-open/event8969
Illinois-B
b,r,e,a,k
Chicago-B
b,r,e,a,k
Kalamazoo-B
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Illinois-B,Chicago-B,15,2,"04/30/2011, 09:00",Pool A,final
Kalamazoo-B,Chicago-B,9,4,"04/30/2011, 10:30",Pool A,final
Illinois-B,Kalamazoo-B,15,2,"04/30/2011, 12:00",Pool A,final
b,r,e,a,k
brackets,Bracket
bracket,Bracket
Kalamazoo-B,Chicago-B,7,5,"05/01/2011, 13:30",Bracket,final
Illinois-B,Kalamazoo-B,15,1,"05/01/2011, 15:00",Bracket,final
b,r,e,a,k
