2011 USAU MetroNY D-I College Open CC,college-open,16,4,2011
Mercerville,NJ,2011-04-16,2011-04-17
https://scorereport.net/2011/college-open/event8561
SUNY-Stony Brook
b,r,e,a,k
Rowan
b,r,e,a,k
Rutgers
b,r,e,a,k
St John's (NY)
b,r,e,a,k
Columbia
b,r,e,a,k
Hofstra
b,r,e,a,k
NYU
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
SUNY-Stony Brook,Rowan,F,W,"04/16/2011, 09:00",Pool A,final
Rutgers,St John's (NY),15,0,"04/16/2011, 09:00",Pool A,final
Columbia,Hofstra,13,12,"04/16/2011, 09:00",Pool A,final
NYU,Hofstra,15,5,"04/16/2011, 10:50",Pool A,final
Rutgers,Rowan,15,8,"04/16/2011, 10:50",Pool A,final
Columbia,St John's (NY),15,1,"04/16/2011, 10:50",Pool A,final
NYU,Rutgers,15,9,"04/16/2011, 12:40",Pool A,final
SUNY-Stony Brook,St John's (NY),,,"04/16/2011, 12:40",Pool A,scheduled
Columbia,Rowan,15,3,"04/16/2011, 12:40",Pool A,final
NYU,SUNY-Stony Brook,W,F,"04/16/2011, 14:30",Pool A,final
Hofstra,Rowan,8,1,"04/16/2011, 14:30",Pool A,final
NYU,St John's (NY),W,F,"04/16/2011, 16:20",Pool A,final
Hofstra,SUNY-Stony Brook,W,F,"04/16/2011, 16:20",Pool A,final
Columbia,Rutgers,11,9,"04/17/2011, 09:00",Pool A,final
Rutgers,SUNY-Stony Brook,W,F,"04/17/2011, 09:00",Pool A,final
NYU,Columbia,13,7,"04/17/2011, 10:50",Pool A,final
Rutgers,Hofstra,15,3,"04/17/2011, 10:50",Pool A,final
Columbia,SUNY-Stony Brook,W,F,"04/17/2011, 10:50",Pool A,final
NYU,Rowan,15,6,"04/17/2011, 12:40",Pool A,final
Hofstra,St John's (NY),W,F,"04/17/2011, 12:40",Pool A,final
Rowan,St John's (NY),W,F,"04/17/2011, 12:40",Pool A,final
b,r,e,a,k
brackets,Bracket
bracket,Championship Bracket
NYU,Columbia,12,11,"04/17/2011, 14:40",Championship Bracket,final
bracket,3rd Place Bracket
Hofstra,Rowan,13,8,"04/17/2011, 14:40",3rd Place Bracket,final
Rutgers,Hofstra,12,8,"04/17/2011, 16:20",3rd Place Bracket,final
b,r,e,a,k
