2011 USAU Florida Dev College Open CC,college-open,16,4,2011
Gainesville,Florida,2011-04-16,2011-04-16
https://scorereport.net/2011/college-open/event8625
Florida-B
b,r,e,a,k
South Florida-B
b,r,e,a,k
Florida-C
b,r,e,a,k
Central Florida-B
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool Only used if no 3-0 team after pool play
Florida-B,South Florida-B,13,5,"04/16/2011, 10:00",Pool Only used if no 3-0 team after pool play,final
Florida-C,Central Florida-B,8,10,"04/16/2011, 10:00",Pool Only used if no 3-0 team after pool play,final
Florida-B,Florida-C,13,5,"04/16/2011, 11:40",Pool Only used if no 3-0 team after pool play,final
Central Florida-B,South Florida-B,10,8,"04/16/2011, 11:40",Pool Only used if no 3-0 team after pool play,final
Florida-B,Central Florida-B,13,0,"04/16/2011, 13:20",Pool Only used if no 3-0 team after pool play,final
Florida-C,South Florida-B,13,6,"04/16/2011, 13:20",Pool Only used if no 3-0 team after pool play,final
b,r,e,a,k
brackets,Bracket
bracket,A
b,r,e,a,k
