2011 USAU West Plains Dev College Open CC,college-open,16,4,2011
Cedar Falls,IA,2011-04-16,2011-04-16
https://scorereport.net/2011/college-open/event8591
Iowa State-B
b,r,e,a,k
Luther-B
b,r,e,a,k
Iowa-B
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Iowa State-B,Luther-B,9,15,"04/16/2011, 09:00",Pool A,final
Iowa-B,Luther-B,9,15,"04/16/2011, 11:00",Pool A,final
Iowa State-B,Iowa-B,15,9,"04/16/2011, 13:00",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
