2011 USAU Illinois Dev College Open CC,college-open,16,4,2011
Rantoul,IL,2011-04-16,2011-04-16
https://scorereport.net/2011/college-open/event8550
Illinois-B
b,r,e,a,k
Chicago-B
b,r,e,a,k
Northwestern-B
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
Illinois-B,Chicago-B,17,1,"04/16/2011, 10:00",Pool A,final
Northwestern-B,Chicago-B,7,2,"04/16/2011, 12:25",Pool A,final
Illinois-B,Northwestern-B,11,1,"04/16/2011, 14:50",Pool A,final
b,r,e,a,k
brackets,Bracket
b,r,e,a,k
