Hilltop Huck-A-Thon,college-open,9,4,2011
Winona,MN,2011-04-09,2011-04-10
https://scorereport.net/2011/college-open/event9029
St Mary's (Minnesota)
b,r,e,a,k
Winona Club
b,r,e,a,k
Minnesota-Duluth-B
b,r,e,a,k
s,t,a,g,e,s
pools,Pools
pool,Pool A
St Mary's (Minnesota),Winona Club,15,5,"04/09/2011, 09:00",Pool A,final
Minnesota-Duluth-B,Winona Club,15,14,"04/09/2011, 10:30",Pool A,final
St Mary's (Minnesota),Minnesota-Duluth-B,8,15,"04/09/2011, 12:00",Pool A,final
b,r,e,a,k
brackets,Bracket
bracket,Bracket
St Mary's (Minnesota),Winona Club,15,13,"04/09/2011, 13:30",Bracket,final
St Mary's (Minnesota),Minnesota-Duluth-B,13,9,"04/09/2011, 16:00",Bracket,final
b,r,e,a,k
