Southeast D-I College Men's Regionals,College - Men ,6,5,2017
Foley,AL,2017-05-06,2017-05-07
https://play.usaultimate.org/events/Southeast-D-I-College-Mens-Regionals-2017/schedule/Men/CollegeMen/
Georgia,1
teamInfo,Jojah,"Athens, Georgia",https://jojahultimatefrisbee.wordpress.com/,https://www.facebook.com/JojahUltimate,https://twitter.com/JojahUltimate
4,Aidan Rogers
5,Ethan Bowling
7,Parker Bray
10,Adam Burgess
12,Conner Stoll
14,John Langstaff
16,Hunter Cutts
17,Ben Gladstone
22,Jon Ross Ingley
24,Patrick Trent
26,Vasiliy (Vasia) Mishin
28,Mack Hodges
29,Mason Cary
32,Noah Li
34,George Summers
40,Tyler Russell
42,Jason Jones
60,David William Petmecky
82,Sam Batson
87,Gino Mattace
88,Brandon Li
88,NATHAN HASKELL
b,r,e,a,k
Florida,8
teamInfo,Florida,"Gainesville, Florida",modules/common/www.ufultimate.com,https://www.facebook.com/floridaultimate,https://twitter.com/FloridaUltimate/
02,Billy O'Bryan
03,Jose Varillas
05,Kyle Fray
06,Danny Bishop
07,Ryan Hiser
08,David Pincus
10,Ricardo Rodriguez
12,Brandon Turnage
13,William  Field
15,Tanner Repasky
16,Ryan Goetz
17,Alexander Fischer
18,Hayden Wachob
23,Jonathan  Beaubrun
24,Alec Cutajar
25,Unmil Patel
26,Matthew Molinaro
29,Hayden Chappel
35,Parks Weatherford
39,Evan Murray
55,Logan Storts
77,Javier Sahagun
96,Donovan Johnson
b,r,e,a,k
Kennesaw State,12
teamInfo,Parliament,"Kennesaw, Georgia",,,
0,Aaron Claytor
0,Ben Harmon
0,Cole Flournoy
0,Daniel Palladino 
0,Ethan Wynn
0,Jacob Kincaid
0,Jarrett Craft
0,Jon Wyatt
0,Matthew Moore
0,Sam Diffin
0,William Lindquist
2,Justin Naegele
9,Madison Head
9,Jacob Dangler
11,Isaac Smith
13,Ryan Murphy
14,Charles Loudermilk
15,Bhavya Mital
15,Brian Dickey
16,Dan Buckley
21,Norman Cherry
23,Hunter Nielsen
48,Andrew Fortier
49,Matthew Stotter
50,Ross Barnes
59,Andrew Callaghan
97,Mike McGinnis
b,r,e,a,k
Georgia Southern,13
teamInfo,Eagles,"Statesboro, GA, Georgia",modules/common/gsultimate.com,https://twitter.com/gsultimate,https://twitter.com/GASo_Ultimate%20%20%20
1,James ONeal (Neal) Hollis
2,Zach  Tsang
3,Bradley Thompson
4,Hamilton Mebius
7,Gregory Burkell
8,Joseph Vives
9,William Finch
11,Zach Faddis
15,Blake Michal
19,Tanner Butcher
20,James Rink
21,Samuel Trent
31,Jones Durham
32,Cody Lewis
33,Andrew Pineau
34,Christopher Clark
43,Brendan Eckard
47,Brannon Thompson
99,Dylan Whalen
b,r,e,a,k
Central Florida,2
teamInfo,Dogs of War,"Orlando, Florida",http://centralfloridaultimate.com/,https://www.facebook.com/CentralFloridaUltimate,https://twitter.com/PupsofConflict
0,Adam Lapikas
1,Austin Gaines
2,Kameron Knight
3,Benjamin Ostman
4,Kyle Reedy
5,Michael Fairley
6,Kyle Lockwood
7,Kyle Stinson
8,Harrison Slate
10,James Dangler
13,Adam Vinson
15,Jacob Larsen
16,Zachary Good
18,Tyler Carolino
20,John Scott
21,Jonah Larsen
25,Cole Friedes
27,Robert Matthew Hankin
29,Andre Fernandez
32,Austin Malone
47,Austin Koffarnus
b,r,e,a,k
Emory,14
teamInfo,Emory Juice,"Atlanta, Georgia",,,
0,Anders Olsen
0,Brian Fleischer
0,Caleb Parsons
0,Alan Rohrbach
0,Daniel Sperling
0,Deepu Edathara
0,Ekrem Kurucan
0,Eli Zelle
0,Ethan Ecker
0,Ishaan Dave
0,Jack Grubman
0,Jeremy Zackon
0,Jonathan Chylinski
0,KUNWOO PARK
0,MATHEW SPERLING
0,Michael Bartell
0,Pradyumna Singhania
0,Pratik Rout
0,sean Tierney
0,Sibo Wang
0,Gustavo Capo
0,Timothy Jernigan
0,Varun Gupta
1,Thai-Binh Le
10,Enzo Cianelli
14,Gabriel Hart
17,Cheston Husein
18,Everett Dang
23,Zachary Cole
27,David Kim
71,Houston Shrader
84,Alex Shrader
88,Charles Mann
b,r,e,a,k
South Florida,7
teamInfo,Scallywags,"Tampa, Florida",,https://facebook.com/usfultimate,https://twitter.com/usfultimate
02,Chris Zinn
03,Sagar Shahani
04,Rocco Davis
05,Joe Renuart
07,Christian Villar
08,John Taylor
09,Clay Hewett
15,Scott Main
16,Nathan Callihan
18,Alex DeSouza
19,Jonathan Trent
22,Jacob Lane
27,Ryan Graydon
37,Christopher Tiedge
44,Vikrant Pendharkar
53,Timothy Chafin
64,RODRIGO ANGULO
85,Cody Coates
99,George Taylor
b,r,e,a,k
Mississippi,11
teamInfo,HYDRa,"Oxford, Mississippi",,,
0,Edward Ramsey
0,Eric Lam
0,Grant Semmel
0,Austin Uhl
0,Joseph Branson
0,Justin Parks
0,Reed Schaub
0,Rob Stukenborg
0,Robert Dalton Capps
0,Mac Field
1,Terrence Newson
3,Justin Hill
11,John Finnegan
11,Mark Sandefur
14,OMAR YASSIN
18,Carl Upton
20,Mason King
21,Sean Williamson
25,Kyle Ho
32,Tucker  Griggs
34,Jason Teng
40,Carson Turner
81,Amit Tzivion
86,Zach Goodrow
b,r,e,a,k
Auburn,3
teamInfo,Aetos,"Auburn, Alabama",,https://www.facebook.com/auburnultimate,https://twitter.com/AuburnUltimate
0,Austin Scott
0,Benjamin Morgan
0,Christopher Weathers
0,Harrison Lott
0,Jack Missildine
0,Jacob Crane
0,James Hershey
0,Kyle Raab
0,Mark Shannon
0,Matthew Zheng
0,Noah Runyan
0,Peyton Whiteside
0,Robert Alongi
0,Ryan Weesner
0,Samuel Boddie
0,Samuel Murphree
0,Trevor Spengeman
0,Trois White
0,William Thompson
5,Eric Sjostrom
6,Evan Caldwell
9,Dustin Register
12,Jackson Crouch
12,Jordan Quinn
18,Chandler Purtle
20,Mitch Parker
22,Rocco Magnella
23,Martin Newman
25,Reid Williams
26,Hamilton  Wasnick
27,Michael Volz
28,Reid Thackerson
35,Clark Missildine
37,Michael Strobel
47,Joshua Connelly
b,r,e,a,k
Tennessee-Chattanooga,10
teamInfo,Swamp Donkeys,"Chattanooga, Tennessee",,https://www.facebook.com/pages/UTC-Ultimate-Frisbee/688460324541637,https://twitter.com/UTCSwamp
coaches,Torre Hargett
0,David Thomas
3,Connor Jenkins
4,Jeremiah Branson
5,Chase Hammond
7,James Russnogle
9,Jason Raymond
10,James Conners
11,John Oehlschlaeger
12,Nicholas Whiteaker
13,Noah Watson
14,Cody Havens
15,Kristofer Eden
18,Yanni Killebrew
19,Peter Vongsayarath
22,Paul Lally
23,Josh Johnson
31,Brian Vilayphanh
