Southwest Mixed Regional Club Championship 2017,Club - Mixed ,23,9,2017
Del Mar,CA,2017-09-23,2017-09-24
https://play.usaultimate.org/events/Southwest-Mixed-Regionals-2017/schedule/Mixed/Club-Mixed
Blackbird,1
0,Laura Moore
02,Corey Lee
03,Castle Sinicrope
04,Deanna Bjorkquist
05,Thomas Hendrickson
07,Malina Wiebe
09,Adam Farren
10,Krisztina Finn
11,Barrs Lang
12,Alexandra Hasan
13,Sally Mimms
16,Vincenzo Vitiello
17,William Finn
17,John Kolb
18,Tim Gilligan
19,Ryo Kawaoka
20,Bree Cahn
21,ADAM SCOW
23,Matthew (Skip) Sewell
28,Sheeva Slovan
29,VY Chow
30,Megan Schoellhamer
31,Seth Reinhardt
33,Carol Chen
40,Mac Taylor
51,Ryan Scribner
64,Jamie Quella
b,r,e,a,k
American Barbecue,10
0,Alex Pien
0,Alison Main
0,Brandon Kwock
0,Cory Fauver
0,Elise Bruguera
0,Gabriel Miranda
0,Jessalyn Siu
0,Kevin Manss
0,LYUDA GRIGORIEVA
0,Matthew Kissmann
0,Molica Anderson
0,Nicholas Weiss
0,Noel Arsenault
0,Isabel Clayter
0,Paul Sohn
0,Philip Chang
0,Sophie Lu
0,Teresa Feng
0,THOMAS LASSETTER
10,Donnya Ajdari
12,Benjamin Scharfstein
16,Jason Seidler
22,Sheliemae Lai
33,Hannah Dennis
34,Elizabeth Sohn
46,Owen Bell
99,Maxwell Friedmann
b,r,e,a,k
Donuts,8
0,Ari van Schilfgaarde
0,Danielle Gendron
0,Davin Lyons
0,Eric Richardson
0,Erik Urban
0,Claudia Arquero
0,Daniel East
0,Jeffrey Voss
0,Maggie O'Connor
0,Margaret Rosano
0,Megan Gianini
0,Jodi McCloskey
0,KENDRA CONRAD
0,Nikki Chang
0,Sarinah Samsudin
0,Stan Whitcomb
2,Scott Miller
4,Gianna Tesler
8,Adam Koren
13,MICHAEL LOPEZ
15,Jessep Macfarlane
20,Jennifer Thomas
37,Daniel Zakaria
55,Kwai Philpott
77,Alec Surmani
86,Jannon Frank
88,Bill Liu
b,r,e,a,k
Superstition,15
0,BRITTNEY POTZLER
0,ERINN RILEY
0,Javen Jordan
0,Kelsey Bradley
0,Nathan Brodie
0,Tina Holmes
0,William Hanson
1,SHERRI MANKOFSKY
2,Micah Gross
3,Ashley Stahl
4,Jeffrey Budd
5,Colby Wallace
6,ROBIN GREENE
10,Brad Kutler
11,Andrea Torvinen
11,Nicole Ron
12,Dalton Heppler
19,Clairissa Papa
23,SHASHANK SASIDHARAN
30,Michael Simeone
31,Beth Nakamura
37,Jason Yagielo
42,Michael Krohn
42,Nithya Subramanian
49,Jake Hadziev
80,Paul Otto
82,Bobby Wang
b,r,e,a,k
Mischief,2
0,Matt West
02,Corinne Hanson
03,Preeti Nalavade
04,Michael Dirda
05,Robert Yeagle
06,James Hansell
07,Devon Williams
10,Brett Petersen
11,Cody Kirkland
12,Candice Tse
14,Youngsoo (Ellen) Rim
15,Nathan Young
18,Caitlin Rugg
22,Eric Rivera
23,Jordan Jeffery
25,Audrey Wei
27,Jordan Taylor
28,Catherine Chen
30,Han Chen
33,Scott Gatto
47,Gina Schumacher
66,Jackie Wang
71,Manisha Daryani
72,Devin Drewry
80,Kevin Smith
85,Evan Brydon
88,Laurel (Kirstin) Auker
b,r,e,a,k
Alchemy,7
0,Charlie Capron
0,Kate Wagner
0,Nadine Levin
0,Nami Sumida
0,Rebecca Plotnick
0,Samuel Trachtman
4,Elizabeth Leon
