USA Ultimate National Championships,Club - Women ,19,10,2017
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2017/schedule/Women/Club-Women/
Seattle Riot,1
7,Alex Ode
01,Kelly Johnson
02,Lucia Williams
05,Paige Soper
06,Sarah Griffith
07,Calise Cardenas
08,Rachel Bradshaw
09,Qxhna Titcomb
10,Shira Stern
11,Nora Landri
12,Callie Mah
13,Kirstin Gruver
14,Hana Kawai
15,Bailey Zahniser
16,Cassandra Swafford
17,Dominique Fontenette
18,Madeline Gilbert
20,Kristin (Charlie) Eide
21,Molly McKeon
22,Jack Verzuh
23,Aimie Kawai
24,Sarah Davis
25,Alyssa Weatherford
27,Julia Snyder
31,Stephanie Lim
77,Jillian Goodreau
81,Charlie Mercer
b,r,e,a,k
Underground,13
00,Marianna Heckendorn
01,Jessica Spaulding
02,Lindsey Wilson
03,Daniella Welsh
04,Nicole Cramer
05,Tiffany Phan
06,Molly Sinnott
07,Mia Greenwald
08,Carly Campana
10,Hannah M Kreilkamp
14,Madeline Stephenson
17,Ellen Goldberg
22,Kathryn Craley
23,Anh-Thu Chang
25,Emma Kahle
26,Stephanie Phillips
27,Anne Silver
28,Nora Carr
32,Michaela Fallon
33,Catherine (Cate) Roscoe
34,Caitlin Cordell
36,Sophia Johansen
47,Amanda Kostic
51,Kate Crawford
77,Taylor Hartman
91,Tessora Young
b,r,e,a,k
6ixers,8
01,Krystal Dos Santos
04,Cindy Truong
06,Sarah Burke
07,Jeannette Quach
10,Destin McQuillan
11,Laura Kinoshita
12,Joey Cheung
13,Anouchka Beaudry
14,Miriam Tingle
15,JESSIE WU
16,Jessica Chen
17,Nicolette Bertsch
20,Lauren Kimura
22,Sarah Bobak
26,JENNIFER LAM
28,Jenna McLeod
35,Molly Lewis
51,Sarah Innes
53,Christine  Jurychuk
77,Karen Chan
90,Jordan Meron
91,Erica Tucker
93,Naomi Redmond
b,r,e,a,k
Showdown,12
01,Julie Eagle Malecek
02,Elise Bjork
05,Andrea Esparza
06,Ivy Harrison
07,Shiru Liu
09,Laura Landis
10,Gaby Cuina
11,Katey Forth
13,Jennifer Schmerling
14,Edith Teng
16,Sarah Levinn
17,Marissa Land
18,Laura  Gerencser
21,Valerie Pinillos
22,Julia Schmaltz
23,Lillian White
24,Susan Gilbert
25,Cristina Woodings
27,Jamie Eriksson
28,Anne Ortiz
29,Michelle Arceneaux
31,Ashley Shelor
32,Rebecca Forth
41,Alexandra Cunningham
b,r,e,a,k
Brute Squad,2
03,Courtney Verhaalen
04,Lien Hoffmann
05,Julianna Werffeli
06,Claudia Tajima
07,Kameryn Groom
09,Rebecca Ludford
10,Amber Sinicrope
13,Becky Malinowski
14,Tulsa Douglas
15,Kimberly Levins
16,Erin Rea
17,Angela Zhu
21,Chelsea Murphy
22,Victoria Negus
23,Emily Baecher
25,Jennifer Gobin
26,Elana Schwam
28,Shellie Cohen
29,Caitlyn Lee
37,Lauren Sadler
39,Sydney Dobkin
42,Rachel Kramer
46,Jojo Emerson
52,Caitlin O'Connell
71,Cassandra Wong
83,Alyson Steinfeld
b,r,e,a,k
Ozone,7
02,Emily Leonard
03,Paige Carver
04,Marissa Hannah
05,Lillian Ponitz
07,Lane Siedor
08,Samantha Daugherty
09,Anraya Palmer
10,Sophie Darch
14,Allison Snow
15,Katelyn Travaglini
16,Leah Tsinajinnie
19,Kayla Emrick
20,India Stubbs
22,Paula Seville
24,Katherine Wooten
25,Katherine Hines
26,Cate Woodhurst
27,Meg Harris
29,Katie Gainer
31,Samantha Jones
32,Haley Reese
44,Mira Walker
91,Jin-Mi Matsunaga
99,Marie Perivier
b,r,e,a,k
Pop,11
02,Stephanie Wood
03,Anna Reed
04,Emily Regan
05,Kalli Poletto
07,Frances Tsukano
08,Jenny Gaynor
09,Sara  Helm
10,Emma Peaslee
11,Rachel Gage
12,Rebecca Enders
14,Elyssa Yesnes
15,Katie Godfrey
18,Adrienne Baker
19,AJ Uthe
24,Holly Denecour
25,Courtney Kiesow
30,Louise Beck
32,Makella Daley
33,Kayla Blanek
40,Chip Chang
49,Rose Gruenhagen
53,Emma Piorier
77,Kristen Schultz
89,Rebekah Swanson
93,Biz Cook
97,Andrea Uhl
b,r,e,a,k
Rival,14
04,Nina Janjic
05,Stephanie (Stevie) Miller
06,Corinn Pruitt
07,Sara Nitz
08,Becky Moore
09,Janine Walker
10,Kristen Smiach
11,Tracey Lo
12,Katie Backus
13,Emma Colavincenzo
14,Theresa Zettner
15,Brittany Wright
18,Caitlin Harley
20,Sophia Knowles
22,Talia Barth
23,Chelsea Zhu
27,Elizabeth Longmire
30,Mackenzie Fazekas
31,Sara Scott
32,Vivian Chu
37,Hannah Henkin
38,Jennifer Perry
b,r,e,a,k
Molly Brown,3
00,Melissa Devlin
02,Jesse Shofner
03,Maggie Chen
04,Liza Minor
05,Nhi Nguyen
06,Samantha Peletier
07,Paige Applegate
08,Victoria Elmore
09,Kirstin Johnson
10,Lauren Baecher
11,Dena Slattery
15,Sara Taggart
16,Carolyn Matthews
17,Claire McKeever
18,Manuela Cardenas 
19,Christina Mickle
26,Lisa Pitcaithley
28,Sally Lambert
31,Carolyn Vlach
42,Lisi Lohre
47,Rebecca Miller
49,Claire Chastain
65,Megan Ives
97,Sarah Pesch
b,r,e,a,k
Traffic,6
00,Terri Whitehead
02,Laurel Jay
03,Michelle Ning
04,Katie Wong
06,Serena Tam
07,Naomi Morcilla
09,Jessica Rockliff
10,Devra Waldman
11,Katie Hikida
12,Daisy Lin
17,Allison Short
21,Rena Kawabata
23,Jaimie Clay
24,Julia Zhang
27,Megan Kidston
33,Laura Mason
42,Rachel Moens
44,Erin Bussin
48,Zellema Mot
71,Helen Thompson
77,Jennifer Kwok
87,Nicola Parker
90,Catherine Menzies
b,r,e,a,k
Schwa,15
00,Katie Weatherhead
01,Emily Witt
03,Kendall Jorgensen
04,Emily Flock
06,Demri Horton
08,Eva Popp
09,Brenna Bailey
11,Emily Flanders
12,Mariel Hammond
13,Kelly Hansen
14,Samantha Rodenberg
16,Kristen Rosenblum
16,Jenica Villamor
18,Julia Sherwood
19,Julia Bladin
20,Clea Poklemba
21,Kristina Snodgrass
22,Natalie Hancock
24,Aubri Bishop
25,Lauren Truxillo
33,Kendra Wahl
35,Chelsea Twohig
37,Rebecca Perston
43,Ella Hansen
77,Strat Stratton
99,Noelle Takahashi
b,r,e,a,k
Heist,10
02,Sabrina Hoffman
04,Robyn Fennig
05,Rose Glinka
07,Austin Prucha
10,Alison Vandegrift
11,Melissa Gibbs
12,Jasmine Draper-Matthew
14,Rachel Enyeart
16,Margaret Walker
17,Michelle Phillips
19,Georgia Bosscher
20,Lauren Perucco
22,Kayla Patterson
23,Anna Williams
24,Camila Flowerman
26,Emily Langland
27,Bryn Martyna
30,Jean Huang
35,Sarah Anciaux
37,Yuna Iwaoka
40,Amelia Cuarenta
41,Rebecca Roden
44,Hannah Frank
49,Karen Hatch
b,r,e,a,k
Fury,4
00,Marisa Mead
01,Magon Liu
02,Katie Ryan
03,Sharon Lin
04,Alex Snyder
05,Kaela Helton
07,Octavia Payne
08,Nancy Sun
09,Marika Austin
10,Genevieve Laroche
12,Diana Charrier
13,Cree Howard
14,Yelena Gorlin
15,Alden Fletcher
20,Andrea Romano
21,Meeri Chang
27,Ness Fajardo
28,Lisa Couper
33,Anna Nazarov
42,Darragh Kawaoka
44,Maggie Ruden
47,Bethany Kaylor
51,Claire Desmond
61,Lakshmi Narayan
77,Carolyn Finney
b,r,e,a,k
Scandal,5
04,Sarah Itoh
05,Emma Price
06,Lisa Kowalski
08,Kristin Franke
09,Jessica O'Connor
10,Jenny Fey
11,Nada Tramonte
12,Amy Zhou
14,Colleen Marshall
16,Amel Awadelkarim
18,Sarah Solis
19,Claire Smullen
20,Casey Gorman
22,Theresa Hackett
23,Sarah Lord
24,Adilina Malave
26,Ella Juengst
34,Ingrid Petterson
37,Sandra Jorgensen
39,Katy Harris
44,Keila Strick
50,Hannah Boone
55,Molly Roy
88,Kelly Hyland
b,r,e,a,k
Nightlock,9
02,Marisa Rafter
03,Loryn Kanemaru
04,Veronica Cruz
05,Anne Gordon
07,Claire Sharman
08,Rachel Habbert
09,Audrey Lyman
10,Angela Aie
11,Iris Leung
13,Michelle McGhee
14,Emily Kolanz
15,Alison Griffith
16,Eliza Chang
18,SHANNON BUBB
19,Adrienne Lemberger
22,Kaitlin Swinnerton
23,Sabrina Ciccarelli
24,Natasha Won
25,Julia Ting
27,Kira Lou
42,Jackelyne Nguyen
51,Shayla Harris
88,Alina Kagan
96,Patricia Anderson
