2016 USA Ultimate Masters Championships,Masters - Men ,5,8,2016
Aurora,CO,2016-08-05,2016-08-07
https://play.usaultimate.org/events/2016-USA-Ultimate-Masters-Championships/schedule/Men/Masters-Men/
Johnny Encore,1
Beyondors,Outlaw,15,10,"08/06/2016, 11:15",9th Place Quarters,Final
Surly Cynic,M.O.M. Man Old Man,15,13,"08/06/2016, 11:15",9th Place Quarters,Final
bracket,11th Place
OhiOld,Surly Cynic,9,15,"08/07/2016, 09:00",11th Place Final,Final
bracket,13th Place Bracket
North West,Outlaw,15,7,"08/07/2016, 09:00",13th Place Final,Final
BURNSIDE,North West,14,15,"08/06/2016, 13:30",13th Place Semis,Final
Outlaw,M.O.M. Man Old Man,15,10,"08/06/2016, 13:30",13th Place Semis,Final
bracket,15th Place
BURNSIDE,M.O.M. Man Old Man,11,15,"08/07/2016, 09:00",15th Place Final,Final
b,r,e,a,k
