College Southerns XV,College - Men ,19,3,2016
Statesboro,GA,2016-03-19,2016-03-20
https://play.usaultimate.org/events/College-Southerns-XV/schedule/Men/CollegeMen/
North Carolina-Asheville,2
Georgia State,Rhode Island,12,5,"03/19/2016, 10:30",Pool B,Final
Carleton College-GOP,Rhode Island,13,7,"03/19/2016, 12:00",Pool B,Final
High Point,South Florida (B),13,7,"03/19/2016, 12:00",Pool B,Final
High Point,Rhode Island,13,5,"03/19/2016, 15:00",Pool B,Final
Georgia State,South Florida (B),13,4,"03/19/2016, 15:00",Pool B,Final
Carleton College-GOP,South Florida (B),13,4,"03/19/2016, 16:30",Pool B,Final
High Point,Georgia State,8,12,"03/19/2016, 16:30",Pool B,Final
pool,Pool C
Old Dominion,Charleston,10,13,"03/19/2016, 10:30",Pool C,Final
California-San Diego,Georgia Southern,13,10,"03/19/2016, 10:30",Pool C,Final
Princeton,Embry-Riddle (Florida),13,2,"03/19/2016, 10:30",Pool C,Final
Princeton,Old Dominion,13,11,"03/19/2016, 12:00",Pool C,Final
California-San Diego,Charleston,12,10,"03/19/2016, 12:00",Pool C,Final
Georgia Southern,Charleston,13,5,"03/19/2016, 13:30",Pool C,Final
Georgia Southern,Embry-Riddle (Florida),13,0,"03/19/2016, 13:30",Pool C,Final
Princeton,Charleston,11,8,"03/19/2016, 13:30",Pool C,Final
California-San Diego,Embry-Riddle (Florida),13,0,"03/19/2016, 13:30",Pool C,Final
Georgia Southern,Old Dominion,13,9,"03/19/2016, 13:30",Pool C,Final
California-San Diego,Princeton,13,4,"03/19/2016, 15:00",Pool C,Final
Old Dominion,Embry-Riddle (Florida),13,5,"03/19/2016, 15:00",Pool C,Final
Georgia Southern,Princeton,12,7,"03/19/2016, 16:30",Pool C,Final
Embry-Riddle (Florida),Charleston,F,W,"03/19/2016, 16:30",Pool C,Final
California-San Diego,Old Dominion,13,2,"03/19/2016, 16:30",Pool C,Final
pool,Pool D
Chicago,Wake Forest,13,9,"03/19/2016, 09:00",Pool D,Final
Chicago,Tennessee-Chattanooga,12,10,"03/19/2016, 10:30",Pool D,Final
North Georgia,Wake Forest,13,9,"03/19/2016, 13:30",Pool D,Final
Chicago,North Georgia,13,7,"03/19/2016, 15:00",Pool D,Final
Tennessee-Chattanooga,Appalachian State,13,7,"03/19/2016, 15:00",Pool D,Final
North Georgia,Georgia Tech (B),11,9,"03/19/2016, 15:00",Pool D,Final
Tennessee-Chattanooga,Wake Forest,13,9,"03/19/2016, 15:00",Pool D,Final
Tennessee-Chattanooga,North Georgia,13,7,"03/19/2016, 16:30",Pool D,Final
Wake Forest,Georgia Tech (B),12,7,"03/19/2016, 16:30",Pool D,Final
North Georgia,Appalachian State,13,8,"03/19/2016, 16:30",Pool D,Final
Tennessee-Chattanooga,Georgia Tech (B),13,7,"03/19/2016, 19:30",Pool D,Final
Chicago,Appalachian State,13,4,"03/19/2016, 19:30",Pool D,Final
Wake Forest,Appalachian State,13,10,"03/19/2016, 22:30",Pool D,Final
Chicago,Georgia Tech (B),13,8,"03/19/2016, 22:30",Pool D,Final
Georgia Tech (B),Appalachian State,11,12,"03/20/2016, 03:00",Pool D,Final
b,r,e,a,k
brackets,Champ
bracket,Champ
California-San Diego,Chicago,15,4,"03/20/2016, 13:00",Final,Final
California-San Diego,Carleton College-GOP,15,6,"03/20/2016, 11:00",Semi,Final
Chicago,North Carolina-Asheville,15,9,"03/20/2016, 11:00",Semi,Final
California-San Diego,South Florida,15,8,"03/20/2016, 09:00",Quarter,Final
Carleton College-GOP,Tennessee-Chattanooga,13,10,"03/20/2016, 09:00",Quarter,Final
Chicago,Georgia State,15,8,"03/20/2016, 09:00",Quarter,Final
North Carolina-Asheville,Georgia Southern,15,12,"03/20/2016, 09:00",Quarter,Final
bracket,3rd
North Carolina-Asheville,Carleton College-GOP,6,11,"03/20/2016, 13:00",3rd,Final
bracket,5th
Tennessee-Chattanooga,Georgia Southern,5,11,"03/20/2016, 13:00",5th Finals,Final
South Florida,Tennessee-Chattanooga,15,16,"03/20/2016, 11:00",Semi,Final
Georgia State,Georgia Southern,6,15,"03/20/2016, 11:00",Semi,Final
bracket,7th
South Florida,Georgia State,15,14,"03/20/2016, 13:00",7th Final,Final
b,r,e,a,k
brackets,Consolation
bracket,9th Bracket
High Point,North Georgia,8,15,"03/20/2016, 13:00",Final,Final
George Mason,High Point,15,17,"03/20/2016, 11:00",Semi,Final
North Georgia,Charleston,14,9,"03/20/2016, 11:00",Semi,Final
Princeton,George Mason,8,15,"03/20/2016, 09:00",Quarter,Final
High Point,Wake Forest,15,11,"03/20/2016, 09:00",Quarter,Final
North Georgia,Rhode Island,13,11,"03/20/2016, 09:00",Quarter,Final
St Olaf,Charleston,9,14,"03/20/2016, 21:00",Quarter,Final
bracket,17th Bracket
Old Dominion,Appalachian State,15,13,"03/20/2016, 19:00",Final,Final
Old Dominion,South Florida (B),15,8,"03/20/2016, 09:00",Semi,Final
Armstrong State,Appalachian State,5,13,"03/20/2016, 15:00",Semi,Final
bracket,11th
George Mason,Charleston,13,9,"03/20/2016, 13:00",11th Final,Final
bracket,13th
Wake Forest,Rhode Island,15,8,"03/20/2016, 13:00",13th Final,Final
Princeton,Wake Forest,15,17,"03/20/2016, 11:00",13th Semi,Final
Rhode Island,St Olaf,13,10,"03/20/2016, 23:00",13th Semi,Final
bracket,15th
Princeton,St Olaf,0,0,"03/21/2016, 01:00",15th Final,Final
bracket,19th
South Florida (B),Armstrong State,0,0,"03/20/2016, 13:00",19th Final,Final
b,r,e,a,k
brackets,21st
bracket,21st
Georgia Tech (B),Embry-Riddle (Florida),15,14,"03/20/2016, 19:00",21st Final,Final
Georgia Gwinnett,Georgia Tech (B),7,15,"03/20/2016, 17:30",23rd Place,Final
b,r,e,a,k
