South Central Men's Regionals,Club - Men ,10,9,2016
Tulsa,OK,2016-09-10,2016-09-11
https://play.usaultimate.org/events/South-Central-Mens-Regionals-2016/schedule/Men/Club-Men/
Johnny Bravo,1
teamInfo,,"Denver, Colorado",http://bravoultimate.org/,https://www.facebook.com/Johnny-Bravo-Ultimate-111884215492137/,https://twitter.com/BravoUltimate
0,Calvin Delamere
0,Austin Gregersen
0,Joshua Crane
0,Erik Hotaling
0,Mark Rauls
0,Will Lohre
0,Tom Tulett
0,J Wesley Chow
0,Ben Lohre
3,Jesse Roehm
7,David Wheeler
10,C Ryan Morgan
15,Dennison Bechis
18,Philip Sun
19,Ian Toner
19,Isaac Chestler
22,Stanley Peterson
23,Jimmy Mickle
26,Owen Westbrook
27,Steve Schwab
32,Kevin Johnson
34,Henry Konker
35,Todd Wolma
44,Jesse Fisher
45,Patrick (Ted) Barnett
83,Zachary Nager
b,r,e,a,k
Choice City Hops,14
teamInfo,,"Fort Collins, Colorado",,,
0,Mark Stratford
0,David Cuellar
0,TIM MARRINAN
0,Cole Turner
0,PETER LEWIS
0,Easton Archibald
0,Clifton Dimon
0,JEREMIAH SCHWARTZ
0,Daniel Crump
0,Garrett Idler
0,Logan Stagg
0,Thomas Theodorescu
4,ANDREW BZDOK
6,Joey Lutz
11,CHRISTIAN JOHANSEN
14,Matthew Bush
16,DAVID CHAN
28,Toby Nordhoff
31,Jake Russell
34,Cody Spicer
37,Scott Wheeler
81,Tim Kefalas
85,David Popp
91,Michael Sanders
b,r,e,a,k
Supercell,11
teamInfo,,"Oklahoma City, Oklahoma",,,@SuperCellOKC
0,Zachary Johnson
1,Garrett Taylor
1,Cullen Landry
2,Jonathan Summers
4,Chris Dellenbaugh
8,Craig Batchelder
10,Parker Dooly
11,STEPHEN ELIAS
13,Zach Zepp
13,DANIEL SCHMIDT
14,Jeremy Katz
16,Alex Mudd
17,Logan Boren
23,Clark Reimer
27,Corbin Vann
35,Brian Miner
43,Nolan Randolph
44,Dillon Bruer
53,Dawson Pleasant
61,Stephen Wilson
62,Jake Nielesen
b,r,e,a,k
Space City Ignite,8
teamInfo,,"Houston, Texas",,/SpaceCityUltimate,@SpaceCityUlty
0,Andres Chesnut
0,Mac Little
0,Peter Volkmar
0,Raymond Yuan
0,DAVID LEBSACK
0,Robert Reid
0,Ames Fegert
0,Brandon Lin
0,STEPHEN HAFF
0,Michael Drewry
0,Brett Virgin-Downey
0,DAVID BOYEA
0,Drew Wendler
0,Ben Gibbons
0,Glenn Lenberger
0,Salman Eraj
0,Matthew Riddle
