Midwest Throwdown 2016,College - Men ,5,3,2016
St. Louis,MO,2016-03-05,2016-03-06
https://play.usaultimate.org/events/Midwest-Throwdown-2016/schedule/Men/CollegeMen/
Missouri,1
teamInfo,Missouri,"Columbia, Missouri",,,
0,ERIC ZVANUT
0,Thomas Jedding
0,Colin Iglehart
0,Ben Rollings
0,Eric Piatchek
0,Jonathon Morris
0,Joshua Morris
0,Brendan Rost
0,Jackson Huffman
0,Devin Holland
2,Jay Froude
3,Thomas  Kulczak
4,William Horwitz
5,Zachary Gase
10,MATT ERBES
11,Colin OBrien
16,Evan Opsal
17,Ryan Tray
18,Cody Curran
19,TYLER LAUDEMAN
20,MICHAEL ROTONDI
22,Evan Thornberry
23,Samuel Cross
24,Jesse White
25,Sean Campbell
69,JORDAN MCGHEE
99,Michael Brooks
b,r,e,a,k
Marquette,9
teamInfo,Birdhouse 2016,"Milwaukee, Wisconsin",,https://www.facebook.com/marquetteultimate,https://twitter.com/BirdhouseMU
02,Daniel Kress
03,RYAN MCHUGH
05,Evan Swiatek
06,Jordan Benusa
09,Wyatt Meyer
10,Joseph Lindsay
15,Anthony Marino
16,Harrison Hensel
17,Elias Magallanes Jr.
19,Van Walker
20,David Kaftan
23,Tadhg Scully
24,John Devine
25,Sean Andryauskas
27,Reilly Hicks
28,MARK MAURER
30,Michael Starosta
32,Daniel Engsberg
34,BRYAN FITZPATRICK
36,Madison Olesen
42,Zach Thompson
99,Eric Blais
b,r,e,a,k
Grinnell,8
teamInfo,Grinnellephants,"Grinnell, Iowa",,,
0,Jacob Friedman
0,Michael Sundby
0,Daniel Cook
0,Austin Schilling-Stumpner
0,Matthew Henzy
0,Iwan Leggins
0,Patrick Sheehan-Klenk
0,Terrel Jones
0,Jeremy Epstein
0,Jordan Hamilton
1,Jack Graen
7,Kenneth Yuhui Wee
8,Vincent Noh
9,Peter Walker
10,CALEB LEEDY
12,Mark Lewis
13,BENJAMIN BROSSEAU
14,RAY SCHROEDER
16,David Kreis
17,Sayles Kasten
23,Noah Schlager
23,Corey Alt
24,Thomas Robinson
27,Lucas Verrastro
29,Russ Haight
30,Kevin Molina
32,Noah Mozell
39,Seth Van Helten
42,Nate Tometich
72,Evan Porter
74,Henry Jantzen
84,Jon Mehlhaus
99,Jonathan Dowell
b,r,e,a,k
Wisconsin (C),17
teamInfo,Wisconsin C,"Madison, Wisconsin",,,
0,Joshua Garvey
0,Nathan Jensen
