Philly Invite 2016,Club - Mixed ,16,7,2016
Allentown,PA,2016-07-16,2016-07-17
https://play.usaultimate.org/events/Philly-Invite-2016/schedule/Mixed/Club-Mixed
Bang!,1
teamInfo,,"West Chester, Pennsylvania",,https://www.facebook.com/clickclickbangultimate,https://twitter.com/WCbangultimate
0,Dustin Sullivan
0,Danielle Byers
0,Will Hoehne
0,Sarah Roberts
0,Samuel Esser
0,Kathryn Wert
0,Dustin Damiano
0,ELIZABETH PAPPA
0,Greg Martin
00,Kyle Wolf
08,Steve Rosso
09,MATT HORNSTEIN
10,Rachel Clarkson
11,Matt Esser
16,Stacey Daniels
17,Eileen Peach French Regan
21,Regina Wilkinson
24,Christopher Pokorny
25,Zach Thurston
27,Hannah Short
32,Jeffrey Andrews
35,Ryan Forster
43,Daniel O'Connor
74,David Kelly
91,Kenneth Wells
b,r,e,a,k
Clue,8
teamInfo,,"Philadelphia, Pennsylvania",,https://www.facebook.com/CLUEULTIMATE?fref=ts,https://twitter.com/ClueUltimate
0,Bryce Wiedenbeck
0,Craig McGowan
0,Stephanie Coward
0,Greg Strouse
0,Travis Conrad
0,Alison Joyce
0,JUNE FREIFELDER
0,Robert Catzen
0,Thomas Ferguson
0,Tom O'Connor
0,Matthew Foley
0,Brandon Pastor
0,Jon Francis
0,Krystal Ferguson
2,ANNA IMPERATRICE
3,Sarah Coyne
3,William Zeky
6,Victoria Wischerth
11,Jeff Truskin
14,Seval Kanik
15,Bailey Rowland
23,MATTHEW CONGDON
24,Krista Winalski
26,JASON MORGAN
64,Eric Lu
88,Jacob Kesselman
b,r,e,a,k
Ant Madness,4
teamInfo,,"Arlington, Virginia",,,https://twitter.com/antmadness
0,Christine Valvo
0,Allison Hahn
0,Gus Norrbom
0,Katrien Hinderdael
0,Stephanie Herman
0,Bethany Turner
0,SHANNON MCVEY
0,KATIE HAWN
0,Ryan Barlow
0,Michael Parker
0,Jonathan Caldera
0,DAVID CLEMENS-SEWALL
0,Joe Freund
4,Allyce Estremera
8,Jae Miner
8,Jeremy Kanter
9,Fred Wolf
9,Peter Anderson
10,Taylor Young
11,Ryan Thornton
11,Alex Srisuwan
13,Varun Pattani
22,ANDREW SIGAL
25,Carl Schoenherr
31,Andrew Ferraro
42,Claire Loxsom
b,r,e,a,k
Last Call,5
teamInfo,,"New York, New York",,https://www.facebook.com/LastCallUltimate?ref=hl,https://twitter.com/LastCall_NY
0,Rebecca Gibson
0,Robert Smith
0,George Mazzoli
0,Tricia Smit
0,Carter Wang
0,Tim Gilboy
0,Jackson Dolan
0,Julie Ha
0,Jessica Whelan
0,Angel Li
0,Anna Iglitzin
1,Ryan Schulz
5,Peter Gilchrist
9,Laura Marrin
9,Isaiah Bryant
10,Jonathan Lao
13,ALISA LI
17,Moussa Dia
20,Lee Langston
22,David Harrison
37,Dan Mullins
72,Eugene Grinberg
89,Grace Relf
b,r,e,a,k
Sparkle Ponies,2
teamInfo,,"Rockville, Maryland",,,
0,Keerti Goorah
0,Katherine Mallory
0,Paul Butterfoss
0,Max Dyer
0,James Kirchhoff
0,Paul Corbett
0,Jackson Schreiber
0,Abigail Austin
0,Andrew Gravunder
0,James Anderson
0,CHRISTOPHER CAHILL
0,Amelia Grant-Alfieri
0,Erica Zuhr
0,Dan Grabowski
0,JOSEPH GIANCARLO
0,Reagan Grabowski
3,Chris Muller
8,Amanda Erlandson
10,Andrew Fine
13,Dan Jacobson
14,Matthew Hassink
21,Matt Williams
27,David Ohls
27,Joseph Pellicano
31,Anthony Erlandson
31,Bridget Van Fleet
36,Lauren Edwards
61,Kristin Poinar
61,Rachael Burke
88,Duncan Fitzgerald
b,r,e,a,k
American Hyperbole,6
teamInfo,,"Baltimore, Maryland",,,
0,Jake Berzoff-Cohen
0,Marie Collins
0,Kristen Connor
0,Isaac Kinton
0,Kara Schulden
0,PATRICK MONTAGUE
0,Dylan Leighton
0,VICKI BROWN
0,Angela Tran
0,Alexander Antolick
0,Alex Bodaken
0,Kevin Tran
0,Andrew Fish
0,Matthew Radhe
0,James Collins
0,Eva Fury
0,Matt Doughten
0,Kelly Wallace
0,Alexis Faccone
0,Annalise Humm
6,Michael Sharma
27,Ada Maxwell
69,Ryan Bates
80,Joseph Ricks
94,Abigail Wenck
99,Charlie Grevers
b,r,e,a,k
Powermove,3
teamInfo,,"New York, New York",,,
00,Owen Murphy
00,Taylor Brooks
00,Eliot Bemis
00,Anneliese Baierl
00,Joseph Leo Pepper
00,Diana DeLeo
00,Kevin Ludwig
00,Jonathan Read
00,ELIZABETH CASE
00,Anjali Mehta
00,Jan Vanous
00,Ryan MacFadyen
00,Sara Cornish
00,Jacob Cornish
00,Robert Devoogd
00,Sarah Freymiller
00,Derek Oslund
b,r,e,a,k
Tyrannis,7
