USA Ultimate National Championships,Club - Men ,29,9,2016
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2016/schedule/Men/Club-Men/
Ironside,1
01,Josh Markette
02,Rustin Ingold-Smith
03,Kurt Gibson
04,Jason (Jay) Clark
05,Jordan Taylor
07,William Neff
08,Thomas Edmonds
10,Tyler Chan
11,Christian Foster
12,Alex Simmons
13,Tom Annen
14,John Stubbs
16,David Ferraro
17,R. Thomas Sayre-McCord
18,Jim Foster
19,William Dean
21,Jeff Graham
23,Mark Vandenberg
27,Jack Hatchett
33,Russell Wallack
34,Jared Inselmann
35,Piers MacNaughton
38,Adrian Banerji
43,Jon Hirschberger
77,Danny Clark
84,Alex Kapinos
99,Andrew Hooker
b,r,e,a,k
PoNY,8
01,Markian Kuzmowycz
02,NICHOLAS SILBART
03,Jon Cox
04,Matt Hennessy
06,Michael Brenner
07,Clark Cofer
09,Matthew Lemar
10,Gerald Tigol
13,Alberto Alarcon
14,David Vuckovich
15,Kevin Norton
17,Luke Wolckenhauer
19,Isaac Saul
20,MICHAEL HENNESSY
22,Jack Marsh
23,William Katz
25,Gary Dixon
27,Lionel Wininger
29,Ian Guerin
31,Chris Kocher
33,Jake Herman
43,Josue Alorro
44,Robert (Robbie) Gillies
50,Milo Snyder
61,Matthew Weintraub
80,Michael Drost
83,Ryan Drost
b,r,e,a,k
Ring of Fire,13
01,Justin Allen
02,Hunter Taylor
03,Josh Mullen
05,Danny Schmitt
06,Jeff Nordgren
07,Jonathan Nethercutt
08,Terrence Mitchell
09,JD Hastings
10,Henry Fisher
11,Evan Howey
12,Joey Cretella
13,Shane Sisco
14,Jakeem Polk
20,Jacob Fairfax
21,Matt Gouchoe-Hanas
22,Solomon Yanuck
23,Micah Hood
24,Noah Saul
28,Jack Williams
29,Ryan Sitler
32,Jake Coleman
33,Mark Lin
34,Tristan Green
43,Matthew Wilson
51,Tim McAllister
84,David Richardson
99,Joshua Hartzog
b,r,e,a,k
Prairie Fire,12
00,Cole Petsche
01,Joe Nickels
02,Jay Froude
03,Robert Coffin
04,Joe Young
05,Kaplan Maurer
06,Matt Jackson
07,Allen Jones
09,Jones Clemons
10,Peter (PJ) Matulka
11,Tim Robbins
15,Cameron Hunter
16,Brian Trussell
17,Joe Wheelock
18,Thomas Schreiber
21,Christian Simpson
23,Jesse White
24,Danny Kurz
25,Brett Hidaka
37,Thomas  Kulczak
42,Chas Busch
44,Sam Berkelhammer
85,Valley Renshaw
99,Colin Fry
b,r,e,a,k
Revolver,2
01,Simon Higgins
02,Lior Givol
02,Kevin Cocks
03,George Stubbs
04,Joel Schlachet
05,Joshua Wiseman
07,Russell Wynne
08,Patrick Baylis
09,Cassidy Rasmussen
11,Zachary Travis
12,Sam Kanner
15,Michael Spear
16,Jamie Quella
18,Gregory Cohen
20,Nick Schlag
21,Andrew Hagen
22,Marcelo Sanchez-Heredia
24,Elijah Kerns
26,Grant Lindsley
28,Nathan White
29,Christian Johnson
31,Seth Reinhardt
32,Jordan Marcy
35,Lucas Dallmann
50,Beau Kittredge
87,Chris Kosednar
88,Byron Liu
b,r,e,a,k
Sockeye,7
01,Donald Clark
02,Nick Stuart
03,Mario O'Brien
05,Simon Montague
06,Phil Murray
08,Matthew Rehder
09,Sam Harkness
10,John Raynolds
11,Reid Koss
12,Kieran Kelly
13,Dongyang Chen
14,Kenneth Lim
16,Trent Dillon
17,Zane Rankin
18,Matthew Russell
19,Husayn Carnegie
20,Michael Caldwell
22,Spencer Wallis
23,Danny Karlinsky
24,Joe Sefton
25,Frank Devin Barich
28,Duncan Linn
33,Samuel Hart
34,Mark Burton
55,Will Chen
70,Julian Hausman
b,r,e,a,k
Doublewide,14
01,Jason Holleran
02,Jake Reinhardt
04,David Brooks
05,Jeff Loskorn
06,Michael Matthis
07,Nash Mock
12,Andrew Walch
13,Matthew (Skip) Sewell
14,Michael Cramer
15,Paul Starkel
16,Andrew Lord
17,Doug Richardson
18,Daniel Emmons
19,Ethan Pollack
20,Chase Cunningham
24,Rory Orloff
30,Parker Howard
31,Brandon Malecek
33,Ryan Purcell
44,Jason Best
52,Kamron Daftari
81,Brett Gramann
89,Jack Wooldridge
b,r,e,a,k
Patrol,11
00,Benjamin Johnson
01,Colin McIntyre
02,Ethan Fortin
03,Gabriel Colton
05,Charles McCutcheon
06,Leon Chou
07,Nick Hirannet
08,Nick Patel
09,Patrick Diviney
11,Himalaya Mehta
12,Codi Wood
13,David Brandolph
18,William Sickles
19,Thomas Allen
20,David Baer
21,Michael Panna
23,James Zuraw
24,Ethan Peck
25,Trey (George) Katzenbach
27,Jake Rainwater
30,David Bloodgood
31,Patrick Lindsey
33,Brice Dunn
55,Matt Paparone
81,Sean Mott
87,Brian Nevison
91,Vincent Reydams
b,r,e,a,k
Truck Stop,3
01,DANIEL KANTOR
02,Sean Keegan
03,Keven Moldenhauer
04,Delrico Johnson
05,David Cranston
06,Jonathan Neeley
07,David Boylan-Kolchin
08,Peter Prial
09,Tom Doi
10,Tyler Monroe
12,Jacob Smith
17,Eric Miner
21,John Agan
22,Brian Marshall
27,Cody Johnston
28,Matthew Rowan McDonnell
29,Jackson Cochran
31,John Wodatch
36,Nick Spiva
45,Jeff Wodatch
61,Erik Salmi
88,Calvin Oung
90,Markham Shofner
99,Alan Kolick
b,r,e,a,k
Madison Club,6
01,ADAM DREWS
02,Logan Pruess
03,Jordan O'Neill
04,Patrick Shriwise
05,FRANKLIN LI
06,Bill Everhart
08,Benjy Keren
09,Andrew Meshnick
10,David Meinecke
11,Andrew Brown
12,Chris Wilen
13,Brian Hart
14,David Wiseman
14,Scott Richgels
16,Kyle Weigand
19,Lochlan Wise
24,Dayu Liu
25,Ross Barker
26,Peter Graffy
30,Sterling Knoche
32,Colin Camp
44,Jadon Scullion
48,Thomas Coolidge
68,Benjamin Nelson
80,Kevin Pettit-Scantling
92,Kevin Brown
b,r,e,a,k
Dig,15
00,Rocco Essex-Linehan
02,Spencer Diamond
03,Ryan Rzepka
04,Tanner Halkyard
05,Michael Sender
06,Alex Cooper
07,GALEN CAMPBELL
08,Ben Sadok
09,Misha Sidorsky
10,Victor Luo
11,Mat Little
12,Tim Schoch
13,Hartley Greenwald
14,AIDAN PENN
15,Dylan Best
16,Jeffrey Babbitt
17,Joe Thompson
18,Jordan Taylor
20,Jonah Kurman-Faber
21,Misha Herscu
24,David Reshef
27,Nicholas Thompson
64,Carl Frederik Brasz
71,Denis Maguire
81,SAMUEL RICHARDSON
83,Alex Dagley
b,r,e,a,k
HIGH FIVE,10
01,Alex Edinger
04,Nick Hamilton
05,Austin Engel
06,James Highsmith
07,John-Michael Guest
08,JESSE WOHL
09,Michael Meilstrup
10,David Bentrovato
11,Jordan Rhyne
12,Mitch Cihon
13,Tim Meyers
14,Josh Botti
15,Connor Haley
16,Kevin Coulter
17,Keegan North
19,Paul Arters
20,Sam Greenwood
22,Michael Dagher-Margosian
23,Eric Schumacher
24,Jake Steslicki
28,Michael Jahn
33,Eric Hubbard
42,Mike Ogren
45,Kevin Baumann
47,Phil Cherosky
55,Johnny Bansfield
98,Dan Donovan
b,r,e,a,k
Johnny Bravo,4
00,Mark Rauls
01,Tom Tulett
03,Jesse Roehm
05,Patrick (Ted) Barnett
06,Erik Hotaling
07,David Wheeler
08,Austin Gregersen
09,Ian Toner
10,C Ryan Morgan
11,Joshua Crane
12,Isaac Chestler
15,Dennison Bechis
18,Philip Sun
21,J Wesley Chow
22,Stanley Peterson
23,Jimmy Mickle
26,Owen Westbrook
27,Steve Schwab
32,Kevin Johnson
34,Henry Konker
35,Todd Wolma
42,Ben Lohre
44,Jesse Fisher
45,Will Lohre
83,Zachary Nager
85,Calvin Delamere
b,r,e,a,k
Chicago Machine,5
00,Jonathan Helton
01,NICK PROZOROVSKY
02,Joshua Stevens-Stein
03,Bob Liu
04,Benjamin Spielman
07,Brett Kolinek
08,Stephan Mance
10,Von Alanguilan
11,Trent Kuhl
12,Julian Childs-Walker
13,Alex Evangelides
15,Andrew Sheehan
16,Yiding Hou
18,Cullen Geppert
19,Jack Shey
24,Michael Pardo
25,Ron Kubalanza
26,Kevin Kelly
29,Michael Schwenk
31,Walden Nelson
34,Jesse Buchsbaum
37,Travis Carpenter
45,Brett Matzuka
51,Andrew (AJ) Nelson
55,Pawel Janas
63,Percy Stogdon
64,Neal Phelps
b,r,e,a,k
Furious George,16
04,Ari Nitikman
05,Ty Barbieri
06,Andre Gailits
07,Charles Eyrich
08,Morgan Hibbert
10,Gagan Chatha
11,KEVIN GREER
13,GREG MOORE
14,Victor Cheng
16,Tim Tsang
17,Erik Hunter
22,Oliver Telfer
23,Fred Lam
27,Alexander Davis
29,Kevin Lore
33,Nick Wright
37,Myles Sinclair
45,Malcolm Bryson
73,Ben Burelle
81,Rumi Tejpar
88,Brett Anderson
89,Kevin Underhill
97,Edward Guo
98,Brendan Wong
b,r,e,a,k
H.I.P,9
01,Carson Wilder
02,Matthew Bennett
03,Chris Larberg
04,"Sam ""Suds"" Ward"
05,Dillon Larberg
07,Ben Lewis
08,Carter Hollo
09,Peter Clarke
10,Carlos Vargas
11,Robert Lewis
12,Kevin Christian
13,Dalton Smith
14,Chris Brooks
16,Michael Hays
17,Reid Bacon
18,Kevin Land
20,Brendan Adams
21,Mitchell Bennett
23,Thomas Slack
24,Cody Holloway
27,Brandon Dial
31,Kai Marshall
42,Chris Bennett
72,Patrick Marco
77,Joel Clutton
81,Luke Hebert
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Ironside,Prairie Fire,14,12,"09/29/2016, 09:00",Pool A
PoNY,Ring of Fire,13,12,"09/29/2016, 09:00",Pool A
Ironside,Ring of Fire,14,7,"09/29/2016, 11:15",Pool A
PoNY,Prairie Fire,15,12,"09/29/2016, 11:15",Pool A
Ironside,PoNY,14,10,"09/29/2016, 13:30",Pool A
Prairie Fire,Ring of Fire,10,13,"09/29/2016, 13:30",Pool A
pool,Pool B
Revolver,Patrol,15,8,"09/29/2016, 11:15",Pool B
Sockeye,Doublewide,15,7,"09/29/2016, 11:15",Pool B
Revolver,Doublewide,15,2,"09/29/2016, 13:30",Pool B
Sockeye,Patrol,15,7,"09/29/2016, 13:30",Pool B
Revolver,Sockeye,16,15,"09/29/2016, 15:45",Pool B
Patrol,Doublewide,13,15,"09/29/2016, 15:45",Pool B
pool,Pool C
Truck Stop,HIGH FIVE,14,12,"09/29/2016, 09:00",Pool C
Madison Club,Dig,15,10,"09/29/2016, 09:00",Pool C
Truck Stop,Dig,12,6,"09/29/2016, 13:30",Pool C
Madison Club,HIGH FIVE,10,8,"09/29/2016, 13:30",Pool C
Truck Stop,Madison Club,12,11,"09/29/2016, 15:45",Pool C
HIGH FIVE,Dig,7,11,"09/29/2016, 15:45",Pool C
pool,Pool D
Johnny Bravo,H.I.P,15,13,"09/29/2016, 09:00",Pool D
Chicago Machine,Furious George,14,10,"09/29/2016, 09:00",Pool D
Johnny Bravo,Furious George,15,10,"09/29/2016, 11:15",Pool D
Chicago Machine,H.I.P,15,13,"09/29/2016, 11:15",Pool D
Johnny Bravo,Chicago Machine,15,12,"09/29/2016, 15:45",Pool D
H.I.P,Furious George,10,15,"09/29/2016, 15:45",Pool D
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
Ironside,Revolver,14,13,"10/02/2016, 12:30",1st Place Finals
Ironside,Johnny Bravo,15,11,"10/01/2016, 17:30",Semifinals
Ring of Fire,Revolver,12,13,"10/01/2016, 14:00",Semifinals
Ironside,Sockeye,13,8,"09/30/2016, 11:45",Quarterfinals
Doublewide,Johnny Bravo,12,15,"09/30/2016, 11:45",Quarterfinals
Truck Stop,Ring of Fire,8,13,"09/30/2016, 14:00",Quarterfinals
Furious George,Revolver,9,15,"09/30/2016, 14:00",Quarterfinals
Sockeye,Dig,14,13,"09/30/2016, 09:00",Pre-Quarters
Doublewide,Madison Club,15,10,"09/30/2016, 09:00",Pre-Quarters
Chicago Machine,Ring of Fire,11,15,"09/30/2016, 09:00",Pre-Quarters
Furious George,PoNY,13,9,"09/30/2016, 09:00",Pre-Quarters
b,r,e,a,k
brackets,Pro Flight Bracket
bracket,5th Place Bracket (Pro Flight)
Truck Stop,Sockeye,0,0,"10/01/2016, 09:00",5th Place Finals
Truck Stop,Furious George,15,11,"09/30/2016, 16:15",5th Place Semis
Doublewide,Sockeye,11,12,"09/30/2016, 16:15",5th Place Semis
bracket,Pro Flight Play-In / 7th Place Bracket (1)
Furious George,Patrol,11,15,"10/01/2016, 10:00",Pro Flight Play-In / 7th Place
Patrol,H.I.P,14,11,"09/30/2016, 16:15",9th Semis
Madison Club,Patrol,12,14,"09/30/2016, 11:45",9th Quarters
H.I.P,Dig,15,7,"09/30/2016, 11:45",9th Quarters
bracket,Pro Flight Play-In / 7th Place Bracket (2)
HIGH FIVE,Doublewide,14,10,"10/01/2016, 10:00",Pro Flight Play-In / 7th Place
Prairie Fire,HIGH FIVE,12,15,"09/30/2016, 16:15",9th Semis
PoNY,Prairie Fire,8,12,"09/30/2016, 11:45",9th Quarters
HIGH FIVE,Chicago Machine,15,13,"09/30/2016, 11:45",9th Quarters
b,r,e,a,k
brackets,Placement Bracket (Elite Flight)
bracket,11th Place
H.I.P,Prairie Fire,11,15,"10/01/2016, 09:00",11th Place Finals
bracket,13th Place
Madison Club,Chicago Machine,7,6,"10/01/2016, 09:00",13th Place Finals
Madison Club,Dig,14,10,"09/30/2016, 14:00",13th Place Semis
PoNY,Chicago Machine,11,15,"09/30/2016, 14:00",13th Place Semis
bracket,15th Place
Dig,PoNY,0,0,"10/01/2016, 09:00",15th Place Finals
b,r,e,a,k
clusters, Crossover - 4 Seeds from Pool Play
cluster, Crossover - 4 Seeds from Pool Play
H.I.P,Patrol,15,13,"09/30/2016, 09:00",
HIGH FIVE,Prairie Fire,11,15,"09/30/2016, 09:00",
b,r,e,a,k
